time,width,height,area,actual_area,density
0.0000,11.0000,11.0000,100.0000,121.0000,0.2070
2.0000,11.0000,11.0000,100.0000,121.0000,0.2070
4.0000,11.0000,11.0000,100.0000,121.0000,0.2070
6.0000,11.0000,11.0000,100.0000,121.0000,0.2070
8.0000,11.0000,11.0000,100.0000,121.0000,0.2070
10.0000,11.0000,11.0000,100.0000,121.0000,0.2070
12.0000,11.0000,11.0000,100.0000,121.0000,0.2070
14.0000,11.0000,11.0000,100.0000,121.0000,0.2070
16.0000,11.0000,11.0000,100.0000,121.0000,0.2070
18.0000,11.0000,11.0000,100.0000,121.0000,0.2070
20.0000,11.0000,11.0000,100.0000,121.0000,0.2070
22.0000,11.0000,11.0000,100.0000,121.0000,0.2070
24.0000,11.0000,11.0000,100.0000,121.0000,0.2070
26.0000,11.0000,11.0000,100.0000,121.0000,0.2070
28.0000,11.0000,11.0000,100.0000,121.0000,0.2070
30.0000,11.0000,11.0000,100.0000,121.0000,0.2070
32.0000,11.0000,11.0000,100.0000,121.0000,0.2070
34.0000,11.0000,11.0000,100.0000,121.0000,0.2070
36.0000,11.0000,11.0000,100.0000,121.0000,0.2070
38.0000,11.0000,11.0000,100.0000,121.0000,0.2070
40.0000,11.0000,11.0000,100.0000,121.0000,0.2070
42.0000,11.0000,11.0000,100.0000,121.0000,0.2070
44.0000,11.0000,11.0000,100.0000,121.0000,0.2070
46.0000,11.0000,11.0000,100.0000,121.0000,0.2070
48.0000,11.0000,11.0000,100.0000,121.0000,0.2070
50.0000,11.0000,11.0000,100.0000,121.0000,0.2070
52.0000,11.0000,11.0000,100.0000,121.0000,0.2070
54.0000,11.0000,11.0000,100.0000,121.0000,0.2070
56.0000,11.0000,11.0000,100.0000,121.0000,0.2070
58.0000,11.0000,11.0000,100.0000,121.0000,0.2070
60.0000,11.0000,11.0000,100.0000,121.0000,0.2070
62.0000,11.0000,11.0000,100.0000,121.0000,0.2070
64.0000,11.0000,11.0000,100.0000,121.0000,0.2070
66.0000,11.0000,11.0000,100.0000,121.0000,0.2070
68.0000,11.0000,11.0000,100.0000,121.0000,0.2070
70.0000,11.0000,11.0000,100.0000,121.0000,0.2070
72.0000,11.0000,11.0000,100.0000,121.0000,0.2070
74.0000,11.0000,11.0000,100.0000,121.0000,0.2070
76.0000,11.0000,11.0000,100.0000,121.0000,0.2070
78.0000,11.0000,11.0000,100.0000,121.0000,0.2070
80.0000,11.0000,11.0000,100.0000,121.0000,0.2070
82.0000,11.0000,11.0000,100.0000,121.0000,0.2070
84.0000,11.0000,11.0000,100.0000,121.0000,0.2070
86.0000,11.0000,11.0000,100.0000,121.0000,0.2070
88.0000,11.0000,11.0000,100.0000,121.0000,0.2070
90.0000,11.0000,11.0000,100.0000,121.0000,0.2070
92.0000,11.0000,11.0000,100.0000,121.0000,0.2070
94.0000,11.0000,11.0000,100.0000,121.0000,0.2070
96.0000,11.0000,11.0000,100.0000,121.0000,0.2070
98.0000,11.0000,11.0000,100.0000,121.0000,0.2070
100.0000,11.0000,11.0000,100.0000,121.0000,0.2070
102.0000,11.0000,11.0000,100.0000,121.0000,0.2070
104.0000,11.0000,11.0000,100.0000,121.0000,0.2070
106.0000,11.0000,11.0000,100.0000,121.0000,0.2070
108.0000,11.0000,11.0000,100.0000,121.0000,0.2070
110.0000,11.0000,11.0000,100.0000,121.0000,0.2070
112.0000,11.0000,11.0000,100.0000,121.0000,0.2070
114.0000,11.0000,11.0000,100.0000,121.0000,0.2070
116.0000,11.0000,11.0000,100.0000,121.0000,0.2070
118.0000,11.0000,11.0000,100.0000,121.0000,0.2070
120.0000,11.0000,11.0000,100.0000,121.0000,0.2070
122.0000,11.0000,11.0000,100.0000,121.0000,0.2070
124.0000,11.0000,11.0000,100.0000,121.0000,0.2070
126.0000,11.0000,11.0000,100.0000,121.0000,0.2070
128.0000,11.0000,11.0000,100.0000,121.0000,0.2070
130.0000,11.0000,11.0000,100.0000,121.0000,0.2070
132.0000,11.0000,11.0000,100.0000,121.0000,0.2070
134.0000,11.0000,11.0000,100.0000,121.0000,0.2070
136.0000,11.0000,11.0000,100.0000,121.0000,0.2070
138.0000,11.0000,11.0000,100.0000,121.0000,0.2070
140.0000,11.0000,11.0000,100.0000,121.0000,0.2070
142.0000,11.0000,11.0000,100.0000,121.0000,0.2070
144.0000,11.0000,11.0000,100.0000,121.0000,0.2070
146.0000,11.0000,11.0000,100.0000,121.0000,0.2070
148.0000,11.0000,11.0000,100.0000,121.0000,0.2070
150.0000,11.0000,11.0000,100.0000,121.0000,0.2070
152.0000,11.0000,11.0000,100.0000,121.0000,0.2070
154.0000,11.0000,11.0000,100.0000,121.0000,0.2070
156.0000,11.0000,11.0000,100.0000,121.0000,0.2070
158.0000,11.0000,11.0000,100.0000,121.0000,0.2070
160.0000,11.0000,11.0000,100.0000,121.0000,0.2070
162.0000,11.0000,11.0000,100.0000,121.0000,0.2070
164.0000,11.0000,11.0000,100.0000,121.0000,0.2070
166.0000,11.0000,11.0000,100.0000,121.0000,0.2070
168.0000,11.0000,11.0000,100.0000,121.0000,0.2070
170.0000,11.0000,11.0000,100.0000,121.0000,0.2070
172.0000,11.0000,11.0000,100.0000,121.0000,0.2070
174.0000,11.0000,11.0000,100.0000,121.0000,0.2070
176.0000,11.0000,11.0000,100.0000,121.0000,0.2070
178.0000,11.0000,11.0000,100.0000,121.0000,0.2070
180.0000,11.0000,11.0000,100.0000,121.0000,0.2070
182.0000,11.0000,11.0000,100.0000,121.0000,0.2070
184.0000,11.0000,11.0000,100.0000,121.0000,0.2070
186.0000,11.0000,11.0000,100.0000,121.0000,0.2070
188.0000,11.0000,11.0000,100.0000,121.0000,0.2070
190.0000,11.0000,11.0000,100.0000,121.0000,0.2070
192.0000,11.0000,11.0000,100.0000,121.0000,0.2070
194.0000,11.0000,11.0000,100.0000,121.0000,0.2070
196.0000,11.0000,11.0000,100.0000,121.0000,0.2070
198.0000,11.0000,11.0000,100.0000,121.0000,0.2070
200.0000,11.0000,11.0000,100.0000,121.0000,0.2070
202.0000,11.0000,11.0000,100.0000,121.0000,0.2070
204.0000,11.0000,11.0000,100.0000,121.0000,0.2070
206.0000,11.0000,11.0000,100.0000,121.0000,0.2070
208.0000,11.0000,11.0000,100.0000,121.0000,0.2070
210.0000,11.0000,11.0000,100.0000,121.0000,0.2070
212.0000,11.0000,11.0000,100.0000,121.0000,0.2070
214.0000,11.0000,11.0000,100.0000,121.0000,0.2070
216.0000,11.0000,11.0000,100.0000,121.0000,0.2070
218.0000,11.0000,11.0000,100.0000,121.0000,0.2070
220.0000,11.0000,11.0000,100.0000,121.0000,0.2070
222.0000,11.0000,11.0000,100.0000,121.0000,0.2070
224.0000,11.0000,11.0000,100.0000,121.0000,0.2070
226.0000,11.0000,11.0000,100.0000,121.0000,0.2070
228.0000,11.0000,11.0000,100.0000,121.0000,0.2070
230.0000,11.0000,11.0000,100.0000,121.0000,0.2070
232.0000,11.0000,11.0000,100.0000,121.0000,0.2070
234.0000,11.0000,11.0000,100.0000,121.0000,0.2070
236.0000,11.0000,11.0000,100.0000,121.0000,0.2070
238.0000,11.0000,11.0000,100.0000,121.0000,0.2070
240.0000,11.0000,11.0000,100.0000,121.0000,0.2070
242.0000,11.0000,11.0000,100.0000,121.0000,0.2070
244.0000,11.0000,11.0000,100.0000,121.0000,0.2070
246.0000,11.0000,11.0000,100.0000,121.0000,0.2070
248.0000,11.0000,11.0000,100.0000,121.0000,0.2070
250.0000,11.0000,11.0000,100.0000,121.0000,0.2070
252.0000,11.0000,11.0000,100.0000,121.0000,0.2070
254.0000,11.0000,11.0000,100.0000,121.0000,0.2070
256.0000,11.0000,11.0000,100.0000,121.0000,0.2070
258.0000,11.0000,11.0000,100.0000,121.0000,0.2070
260.0000,11.0000,11.0000,100.0000,121.0000,0.2070
262.0000,11.0000,11.0000,100.0000,121.0000,0.2070
264.0000,11.0000,11.0000,100.0000,121.0000,0.2070
266.0000,11.0000,11.0000,100.0000,121.0000,0.2070
268.0000,11.0000,11.0000,100.0000,121.0000,0.2070
270.0000,11.0000,11.0000,100.0000,121.0000,0.2070
272.0000,11.0000,11.0000,100.0000,121.0000,0.2070
274.0000,11.0000,11.0000,100.0000,121.0000,0.2070
276.0000,11.0000,11.0000,100.0000,121.0000,0.2070
278.0000,11.0000,11.0000,100.0000,121.0000,0.2070
280.0000,11.0000,11.0000,100.0000,121.0000,0.2070
282.0000,11.0000,11.0000,100.0000,121.0000,0.2070
284.0000,11.0000,11.0000,100.0000,121.0000,0.2070
286.0000,11.0000,11.0000,100.0000,121.0000,0.2070
288.0000,11.0000,11.0000,100.0000,121.0000,0.2070
290.0000,11.0000,11.0000,100.0000,121.0000,0.2070
292.0000,11.0000,11.0000,100.0000,121.0000,0.2070
294.0000,11.0000,11.0000,100.0000,121.0000,0.2070
296.0000,11.0000,11.0000,100.0000,121.0000,0.2070
298.0000,11.0000,11.0000,100.0000,121.0000,0.2070
299.9800,11.0000,11.0000,100.0000,121.0000,0.2070
