time,potential_energy,kinetic_energy,overlaps
0.0000,49.5994,0.0273,16
2.0000,23.2188,0.0234,16
4.0000,12.3411,0.0105,16
6.0000,7.1338,0.0053,16
8.0000,4.3970,0.0029,16
10.0000,2.8506,0.0017,16
12.0000,1.9248,0.0010,16
14.0000,1.3437,0.0007,16
16.0000,0.9645,0.0004,16
18.0000,0.7087,0.0003,16
20.0000,0.5314,0.0002,16
22.0000,0.4055,0.0002,16
24.0000,0.3142,0.0001,16
26.0000,0.2468,0.0001,16
28.0000,0.1963,0.0001,16
30.0000,0.1578,0.0000,16
32.0000,0.1282,0.0000,14
34.0000,0.1050,0.0000,14
36.0000,0.0867,0.0000,14
38.0000,0.0722,0.0000,14
40.0000,0.0605,0.0000,14
42.0000,0.0511,0.0000,14
44.0000,0.0434,0.0000,14
46.0000,0.0370,0.0000,14
48.0000,0.0318,0.0000,14
50.0000,0.0274,0.0000,14
52.0000,0.0238,0.0000,14
54.0000,0.0207,0.0000,14
56.0000,0.0181,0.0000,14
58.0000,0.0159,0.0000,14
60.0000,0.0140,0.0000,14
62.0000,0.0123,0.0000,14
64.0000,0.0110,0.0000,14
66.0000,0.0097,0.0000,14
68.0000,0.0087,0.0000,14
70.0000,0.0078,0.0000,14
72.0000,0.0070,0.0000,16
74.0000,0.0063,0.0000,16
76.0000,0.0057,0.0000,16
78.0000,0.0051,0.0000,16
80.0000,0.0046,0.0000,16
82.0000,0.0042,0.0000,16
84.0000,0.0038,0.0000,16
86.0000,0.0035,0.0000,16
88.0000,0.0032,0.0000,16
90.0000,0.0029,0.0000,16
92.0000,0.0027,0.0000,16
94.0000,0.0025,0.0000,16
96.0000,0.0023,0.0000,16
98.0000,0.0021,0.0000,16
100.0000,0.0020,0.0000,16
102.0000,0.0018,0.0000,16
104.0000,0.0017,0.0000,16
106.0000,0.0016,0.0000,16
108.0000,0.0015,0.0000,16
110.0000,0.0014,0.0000,16
112.0000,0.0013,0.0000,16
114.0000,0.0012,0.0000,16
116.0000,0.0011,0.0000,16
118.0000,0.0011,0.0000,16
120.0000,0.0010,0.0000,16
122.0000,0.0009,0.0000,16
124.0000,0.0009,0.0000,16
126.0000,0.0008,0.0000,16
128.0000,0.0008,0.0000,16
130.0000,0.0008,0.0000,16
132.0000,0.0007,0.0000,16
134.0000,0.0007,0.0000,16
136.0000,0.0006,0.0000,16
138.0000,0.0006,0.0000,16
140.0000,0.0006,0.0000,16
142.0000,0.0006,0.0000,16
144.0000,0.0005,0.0000,16
146.0000,0.0005,0.0000,16
148.0000,0.0005,0.0000,16
150.0000,0.0005,0.0000,16
152.0000,0.0004,0.0000,16
154.0000,0.0004,0.0000,16
156.0000,0.0004,0.0000,16
158.0000,0.0004,0.0000,16
160.0000,0.0004,0.0000,16
162.0000,0.0004,0.0000,16
164.0000,0.0003,0.0000,16
166.0000,0.0003,0.0000,16
168.0000,0.0003,0.0000,16
170.0000,0.0003,0.0000,16
172.0000,0.0003,0.0000,16
174.0000,0.0003,0.0000,16
176.0000,0.0003,0.0000,16
178.0000,0.0003,0.0000,14
180.0000,0.0003,0.0000,14
182.0000,0.0003,0.0000,14
184.0000,0.0002,0.0000,14
186.0000,0.0002,0.0000,14
188.0000,0.0002,0.0000,14
190.0000,0.0002,0.0000,14
192.0000,0.0002,0.0000,14
194.0000,0.0002,0.0000,14
196.0000,0.0002,0.0000,14
198.0000,0.0002,0.0000,14
200.0000,0.0002,0.0000,14
202.0000,0.0002,0.0000,14
204.0000,0.0002,0.0000,14
206.0000,0.0002,0.0000,14
208.0000,0.0002,0.0000,14
210.0000,0.0002,0.0000,14
212.0000,0.0002,0.0000,14
214.0000,0.0002,0.0000,14
216.0000,0.0001,0.0000,14
218.0000,0.0001,0.0000,14
220.0000,0.0001,0.0000,14
222.0000,0.0001,0.0000,14
224.0000,0.0001,0.0000,14
226.0000,0.0001,0.0000,14
228.0000,0.0001,0.0000,14
230.0000,0.0001,0.0000,14
232.0000,0.0001,0.0000,14
234.0000,0.0001,0.0000,14
236.0000,0.0001,0.0000,14
238.0000,0.0001,0.0000,14
240.0000,0.0001,0.0000,14
242.0000,0.0001,0.0000,14
244.0000,0.0001,0.0000,14
246.0000,0.0001,0.0000,14
248.0000,0.0001,0.0000,14
250.0000,0.0001,0.0000,14
252.0000,0.0001,0.0000,14
254.0000,0.0001,0.0000,14
256.0000,0.0001,0.0000,14
258.0000,0.0001,0.0000,14
260.0000,0.0001,0.0000,14
262.0000,0.0001,0.0000,14
264.0000,0.0001,0.0000,14
266.0000,0.0001,0.0000,14
268.0000,0.0001,0.0000,14
270.0000,0.0001,0.0000,14
272.0000,0.0001,0.0000,14
274.0000,0.0001,0.0000,14
276.0000,0.0001,0.0000,14
278.0000,0.0001,0.0000,14
280.0000,0.0001,0.0000,14
282.0000,0.0001,0.0000,14
284.0000,0.0001,0.0000,14
286.0000,0.0001,0.0000,14
288.0000,0.0001,0.0000,14
290.0000,0.0001,0.0000,14
292.0000,0.0001,0.0000,14
294.0000,0.0001,0.0000,14
296.0000,0.0001,0.0000,14
298.0000,0.0001,0.0000,14
299.9800,0.0001,0.0000,14
