time,width,height,area,actual_area,density
0.0000,11.0000,11.0000,100.0000,121.0000,0.2117
1.0000,11.0000,11.0000,100.0000,121.0000,0.2117
2.0000,11.0000,11.0000,100.0000,121.0000,0.2117
3.0000,11.0000,11.0000,100.0000,121.0000,0.2117
4.0000,11.0000,11.0000,100.0000,121.0000,0.2117
5.0000,11.0000,11.0000,100.0000,121.0000,0.2117
6.0000,11.0000,11.0000,100.0000,121.0000,0.2117
7.0000,11.0000,11.0000,100.0000,121.0000,0.2117
8.0000,11.0000,11.0000,100.0000,121.0000,0.2117
9.0000,11.0000,11.0000,100.0000,121.0000,0.2117
10.0000,11.0000,11.0000,100.0000,121.0000,0.2117
11.0000,11.0000,11.0000,100.0000,121.0000,0.2117
12.0000,11.0000,11.0000,100.0000,121.0000,0.2117
13.0000,11.0000,11.0000,100.0000,121.0000,0.2117
14.0000,11.0000,11.0000,100.0000,121.0000,0.2117
15.0000,11.0000,11.0000,100.0000,121.0000,0.2117
16.0000,11.0000,11.0000,100.0000,121.0000,0.2117
17.0000,11.0000,11.0000,100.0000,121.0000,0.2117
18.0000,11.0000,11.0000,100.0000,121.0000,0.2117
19.0000,11.0000,11.0000,100.0000,121.0000,0.2117
20.0000,11.0000,11.0000,100.0000,121.0000,0.2117
21.0000,11.0000,11.0000,100.0000,121.0000,0.2117
22.0000,11.0000,11.0000,100.0000,121.0000,0.2117
23.0000,11.0000,11.0000,100.0000,121.0000,0.2117
24.0000,11.0000,11.0000,100.0000,121.0000,0.2117
25.0000,11.0000,11.0000,100.0000,121.0000,0.2117
26.0000,11.0000,11.0000,100.0000,121.0000,0.2117
27.0000,11.0000,11.0000,100.0000,121.0000,0.2117
28.0000,11.0000,11.0000,100.0000,121.0000,0.2117
29.0000,11.0000,11.0000,100.0000,121.0000,0.2117
30.0000,11.0000,11.0000,100.0000,121.0000,0.2117
31.0000,11.0000,11.0000,100.0000,121.0000,0.2117
32.0000,11.0000,11.0000,100.0000,121.0000,0.2117
33.0000,11.0000,11.0000,100.0000,121.0000,0.2117
34.0000,11.0000,11.0000,100.0000,121.0000,0.2117
35.0000,11.0000,11.0000,100.0000,121.0000,0.2117
36.0000,11.0000,11.0000,100.0000,121.0000,0.2117
37.0000,11.0000,11.0000,100.0000,121.0000,0.2117
38.0000,11.0000,11.0000,100.0000,121.0000,0.2117
39.0000,11.0000,11.0000,100.0000,121.0000,0.2117
40.0000,11.0000,11.0000,100.0000,121.0000,0.2117
41.0000,11.0000,11.0000,100.0000,121.0000,0.2117
42.0000,11.0000,11.0000,100.0000,121.0000,0.2117
43.0000,11.0000,11.0000,100.0000,121.0000,0.2117
44.0000,11.0000,11.0000,100.0000,121.0000,0.2117
45.0000,11.0000,11.0000,100.0000,121.0000,0.2117
46.0000,11.0000,11.0000,100.0000,121.0000,0.2117
47.0000,11.0000,11.0000,100.0000,121.0000,0.2117
48.0000,11.0000,11.0000,100.0000,121.0000,0.2117
49.0000,11.0000,11.0000,100.0000,121.0000,0.2117
50.0000,11.0000,11.0000,100.0000,121.0000,0.2117
51.0000,11.0000,11.0000,100.0000,121.0000,0.2117
52.0000,11.0000,11.0000,100.0000,121.0000,0.2117
53.0000,11.0000,11.0000,100.0000,121.0000,0.2117
54.0000,11.0000,11.0000,100.0000,121.0000,0.2117
55.0000,11.0000,11.0000,100.0000,121.0000,0.2117
56.0000,11.0000,11.0000,100.0000,121.0000,0.2117
57.0000,11.0000,11.0000,100.0000,121.0000,0.2117
58.0000,11.0000,11.0000,100.0000,121.0000,0.2117
59.0000,11.0000,11.0000,100.0000,121.0000,0.2117
60.0000,11.0000,11.0000,100.0000,121.0000,0.2117
61.0000,11.0000,11.0000,100.0000,121.0000,0.2117
62.0000,11.0000,11.0000,100.0000,121.0000,0.2117
63.0000,11.0000,11.0000,100.0000,121.0000,0.2117
64.0000,11.0000,11.0000,100.0000,121.0000,0.2117
65.0000,11.0000,11.0000,100.0000,121.0000,0.2117
66.0000,11.0000,11.0000,100.0000,121.0000,0.2117
67.0000,11.0000,11.0000,100.0000,121.0000,0.2117
68.0000,11.0000,11.0000,100.0000,121.0000,0.2117
69.0000,11.0000,11.0000,100.0000,121.0000,0.2117
70.0000,11.0000,11.0000,100.0000,121.0000,0.2117
71.0000,11.0000,11.0000,100.0000,121.0000,0.2117
72.0000,11.0000,11.0000,100.0000,121.0000,0.2117
73.0000,11.0000,11.0000,100.0000,121.0000,0.2117
74.0000,11.0000,11.0000,100.0000,121.0000,0.2117
75.0000,11.0000,11.0000,100.0000,121.0000,0.2117
76.0000,11.0000,11.0000,100.0000,121.0000,0.2117
77.0000,11.0000,11.0000,100.0000,121.0000,0.2117
78.0000,11.0000,11.0000,100.0000,121.0000,0.2117
79.0000,11.0000,11.0000,100.0000,121.0000,0.2117
80.0000,11.0000,11.0000,100.0000,121.0000,0.2117
81.0000,11.0000,11.0000,100.0000,121.0000,0.2117
