time,potential_energy,kinetic_energy,overlaps
0.0000,25.3131,0.0031,10
1.0000,20.3927,0.0051,8
2.0000,16.7486,0.0039,8
3.0000,13.9669,0.0030,8
4.0000,11.7918,0.0024,8
5.0000,10.0558,0.0019,8
6.0000,8.6462,0.0016,8
7.0000,7.4851,0.0013,8
8.0000,6.5172,0.0011,8
9.0000,5.7025,0.0009,8
10.0000,5.0110,0.0008,8
11.0000,4.4200,0.0007,8
12.0000,3.9119,0.0006,8
13.0000,3.4728,0.0005,8
14.0000,3.0916,0.0004,8
15.0000,2.7594,0.0004,8
16.0000,2.4689,0.0003,8
17.0000,2.2140,0.0003,8
18.0000,1.9897,0.0003,8
19.0000,1.7918,0.0002,8
20.0000,1.6167,0.0002,8
21.0000,1.4614,0.0002,8
22.0000,1.3234,0.0002,8
23.0000,1.2006,0.0001,8
24.0000,1.0909,0.0001,8
25.0000,0.9928,0.0001,8
26.0000,0.9050,0.0001,8
27.0000,0.8262,0.0001,8
28.0000,0.7553,0.0001,8
29.0000,0.6915,0.0001,8
30.0000,0.6339,0.0001,8
31.0000,0.5820,0.0001,8
32.0000,0.5349,0.0001,8
33.0000,0.4923,0.0001,8
34.0000,0.4537,0.0000,8
35.0000,0.4185,0.0000,8
36.0000,0.3866,0.0000,8
37.0000,0.3575,0.0000,8
38.0000,0.3309,0.0000,8
39.0000,0.3067,0.0000,8
40.0000,0.2845,0.0000,8
41.0000,0.2642,0.0000,8
42.0000,0.2456,0.0000,8
43.0000,0.2285,0.0000,8
44.0000,0.2128,0.0000,8
45.0000,0.1984,0.0000,8
46.0000,0.1851,0.0000,8
47.0000,0.1729,0.0000,8
48.0000,0.1616,0.0000,8
49.0000,0.1511,0.0000,8
50.0000,0.1415,0.0000,8
51.0000,0.1326,0.0000,8
52.0000,0.1243,0.0000,8
53.0000,0.1167,0.0000,8
54.0000,0.1096,0.0000,8
55.0000,0.1030,0.0000,8
56.0000,0.0969,0.0000,8
57.0000,0.0912,0.0000,8
58.0000,0.0859,0.0000,8
59.0000,0.0809,0.0000,8
60.0000,0.0763,0.0000,8
61.0000,0.0720,0.0000,8
62.0000,0.0680,0.0000,8
63.0000,0.0643,0.0000,8
64.0000,0.0608,0.0000,8
65.0000,0.0575,0.0000,8
66.0000,0.0544,0.0000,8
67.0000,0.0516,0.0000,8
68.0000,0.0489,0.0000,8
