time,width,height,area,density
0.0000,12.2586,12.1784,149.2898,0.1936
2.0000,12.2586,12.1784,149.2898,0.1936
4.0000,12.2586,12.1784,149.2898,0.1936
6.0000,12.2586,12.1784,149.2898,0.1936
8.0000,12.2586,12.1784,149.2898,0.1936
10.0000,12.2586,12.1784,149.2898,0.1936
12.0000,12.2586,12.1784,149.2898,0.1936
14.0000,12.2586,12.1784,149.2898,0.1936
16.0000,12.2586,12.1784,149.2898,0.1936
18.0000,12.2586,12.1784,149.2898,0.1936
20.0000,12.2586,12.1784,149.2898,0.1936
22.0000,12.2586,12.1784,149.2898,0.1936
24.0000,12.2586,12.1784,149.2898,0.1936
26.0000,12.2586,12.1784,149.2898,0.1936
28.0000,12.2586,12.1784,149.2898,0.1936
30.0000,12.2586,12.1784,149.2898,0.1936
32.0000,12.2586,12.1784,149.2898,0.1936
34.0000,12.2586,12.1784,149.2898,0.1936
36.0000,12.2586,12.1784,149.2898,0.1936
38.0000,12.2586,12.1784,149.2898,0.1936
40.0000,12.2586,12.1784,149.2898,0.1936
42.0000,12.2586,12.1784,149.2898,0.1936
44.0000,12.2586,12.1784,149.2898,0.1936
46.0000,12.2586,12.1784,149.2898,0.1936
48.0000,12.2586,12.1784,149.2898,0.1936
50.0000,12.2586,12.1784,149.2898,0.1936
52.0000,12.2586,12.1784,149.2898,0.1936
54.0000,12.2586,12.1784,149.2898,0.1936
56.0000,12.2586,12.1784,149.2898,0.1936
58.0000,12.2586,12.1784,149.2898,0.1936
60.0000,12.2586,12.1784,149.2898,0.1936
62.0000,12.2586,12.1784,149.2898,0.1936
64.0000,12.2586,12.1784,149.2898,0.1936
66.0000,12.2586,12.1784,149.2898,0.1936
68.0000,12.2586,12.1784,149.2898,0.1936
70.0000,12.2586,12.1784,149.2898,0.1936
72.0000,12.2586,12.1784,149.2898,0.1936
74.0000,12.2586,12.1784,149.2898,0.1936
76.0000,12.2586,12.1784,149.2898,0.1936
78.0000,12.2586,12.1784,149.2898,0.1936
80.0000,12.2586,12.1784,149.2898,0.1936
82.0000,12.2586,12.1784,149.2898,0.1936
84.0000,12.2586,12.1784,149.2898,0.1936
86.0000,12.2586,12.1784,149.2898,0.1936
88.0000,12.2586,12.1784,149.2898,0.1936
90.0000,12.2586,12.1784,149.2898,0.1936
92.0000,12.2586,12.1784,149.2898,0.1936
94.0000,12.2586,12.1784,149.2898,0.1936
96.0000,12.2586,12.1784,149.2898,0.1936
98.0000,12.2586,12.1784,149.2898,0.1936
100.0000,12.2586,12.1784,149.2898,0.1936
102.0000,12.2586,12.1784,149.2898,0.1936
104.0000,12.2586,12.1784,149.2898,0.1936
106.0000,12.2586,12.1784,149.2898,0.1936
108.0000,12.2586,12.1784,149.2898,0.1936
110.0000,12.2586,12.1784,149.2898,0.1936
112.0000,12.2586,12.1784,149.2898,0.1936
114.0000,12.2586,12.1784,149.2898,0.1936
116.0000,12.2586,12.1784,149.2898,0.1936
118.0000,12.2586,12.1784,149.2898,0.1936
120.0000,12.2586,12.1784,149.2898,0.1936
122.0000,12.2586,12.1784,149.2898,0.1936
124.0000,12.2586,12.1784,149.2898,0.1936
126.0000,12.2586,12.1784,149.2898,0.1936
128.0000,12.2586,12.1784,149.2898,0.1936
130.0000,12.2586,12.1784,149.2898,0.1936
132.0000,12.2586,12.1784,149.2898,0.1936
134.0000,12.2586,12.1784,149.2898,0.1936
136.0000,12.2586,12.1784,149.2898,0.1936
138.0000,12.2586,12.1784,149.2898,0.1936
140.0000,12.2586,12.1784,149.2898,0.1936
142.0000,12.2586,12.1784,149.2898,0.1936
144.0000,12.2586,12.1784,149.2898,0.1936
146.0000,12.2586,12.1784,149.2898,0.1936
148.0000,12.2586,12.1784,149.2898,0.1936
150.0000,12.2586,12.1784,149.2898,0.1936
152.0000,12.2586,12.1784,149.2898,0.1936
154.0000,12.2586,12.1784,149.2898,0.1936
156.0000,12.2586,12.1784,149.2898,0.1936
158.0000,12.2586,12.1784,149.2898,0.1936
160.0000,12.2586,12.1784,149.2898,0.1936
162.0000,12.2586,12.1784,149.2898,0.1936
164.0000,12.2586,12.1784,149.2898,0.1936
166.0000,12.2586,12.1784,149.2898,0.1936
168.0000,12.2586,12.1784,149.2898,0.1936
170.0000,12.2586,12.1784,149.2898,0.1936
172.0000,12.2586,12.1784,149.2898,0.1936
174.0000,12.2586,12.1784,149.2898,0.1936
176.0000,12.2586,12.1784,149.2898,0.1936
178.0000,12.2586,12.1784,149.2898,0.1936
180.0000,12.2586,12.1784,149.2898,0.1936
182.0000,12.2586,12.1784,149.2898,0.1936
184.0000,12.2586,12.1784,149.2898,0.1936
186.0000,12.2586,12.1784,149.2898,0.1936
188.0000,12.2586,12.1784,149.2898,0.1936
190.0000,12.2586,12.1784,149.2898,0.1936
192.0000,12.2586,12.1784,149.2898,0.1936
194.0000,12.2586,12.1784,149.2898,0.1936
196.0000,12.2586,12.1784,149.2898,0.1936
198.0000,12.2586,12.1784,149.2898,0.1936
200.0000,12.2586,12.1784,149.2898,0.1936
202.0000,12.2586,12.1784,149.2898,0.1936
204.0000,12.2586,12.1784,149.2898,0.1936
206.0000,12.2586,12.1784,149.2898,0.1936
208.0000,12.2586,12.1784,149.2898,0.1936
210.0000,12.2586,12.1784,149.2898,0.1936
212.0000,12.2586,12.1784,149.2898,0.1936
214.0000,12.2586,12.1784,149.2898,0.1936
216.0000,12.2586,12.1784,149.2898,0.1936
218.0000,12.2586,12.1784,149.2898,0.1936
220.0000,12.2586,12.1784,149.2898,0.1936
222.0000,12.2586,12.1784,149.2898,0.1936
224.0000,12.2586,12.1784,149.2898,0.1936
226.0000,12.2586,12.1784,149.2898,0.1936
228.0000,12.2586,12.1784,149.2898,0.1936
230.0000,12.2586,12.1784,149.2898,0.1936
232.0000,12.2586,12.1784,149.2898,0.1936
234.0000,12.2586,12.1784,149.2898,0.1936
236.0000,12.2586,12.1784,149.2898,0.1936
238.0000,12.2586,12.1784,149.2898,0.1936
240.0000,12.2586,12.1784,149.2898,0.1936
242.0000,12.2586,12.1784,149.2898,0.1936
244.0000,12.2586,12.1784,149.2898,0.1936
246.0000,12.2586,12.1784,149.2898,0.1936
248.0000,12.2586,12.1784,149.2898,0.1936
250.0000,12.2586,12.1784,149.2898,0.1936
252.0000,12.2586,12.1784,149.2898,0.1936
254.0000,12.2586,12.1784,149.2898,0.1936
256.0000,12.2586,12.1784,149.2898,0.1936
258.0000,12.2586,12.1784,149.2898,0.1936
260.0000,12.2586,12.1784,149.2898,0.1936
262.0000,12.2586,12.1784,149.2898,0.1936
264.0000,12.2586,12.1784,149.2898,0.1936
266.0000,12.2586,12.1784,149.2898,0.1936
268.0000,12.2586,12.1784,149.2898,0.1936
270.0000,12.2586,12.1784,149.2898,0.1936
272.0000,12.2586,12.1784,149.2898,0.1936
274.0000,12.2586,12.1784,149.2898,0.1936
276.0000,12.2586,12.1784,149.2898,0.1936
278.0000,12.2586,12.1784,149.2898,0.1936
280.0000,12.2586,12.1784,149.2898,0.1936
282.0000,12.2586,12.1784,149.2898,0.1936
284.0000,12.2586,12.1784,149.2898,0.1936
286.0000,12.2586,12.1784,149.2898,0.1936
