time,width,height,area,density
0.0000,12.2914,12.2719,150.8389,0.2043
1.0000,12.2914,12.2719,150.8389,0.2043
2.0000,12.2914,12.2719,150.8389,0.2043
3.0000,12.2914,12.2719,150.8389,0.2043
4.0000,12.2914,12.2719,150.8389,0.2043
5.0000,12.2914,12.2719,150.8389,0.2043
6.0000,12.2914,12.2719,150.8389,0.2043
7.0000,12.2914,12.2719,150.8389,0.2043
8.0000,12.2914,12.2719,150.8389,0.2043
9.0000,12.2914,12.2719,150.8389,0.2043
10.0000,12.2914,12.2719,150.8389,0.2043
11.0000,12.2914,12.2719,150.8389,0.2043
12.0000,12.2914,12.2719,150.8389,0.2043
13.0000,12.2914,12.2719,150.8389,0.2043
14.0000,12.2914,12.2719,150.8389,0.2043
15.0000,12.2914,12.2719,150.8389,0.2043
16.0000,12.2914,12.2719,150.8389,0.2043
17.0000,12.2914,12.2719,150.8389,0.2043
18.0000,12.2914,12.2719,150.8389,0.2043
19.0000,12.2914,12.2719,150.8389,0.2043
20.0000,12.2914,12.2719,150.8389,0.2043
21.0000,12.2914,12.2719,150.8389,0.2043
22.0000,12.2914,12.2719,150.8389,0.2043
23.0000,12.2914,12.2719,150.8389,0.2043
24.0000,12.2914,12.2719,150.8389,0.2043
25.0000,12.2914,12.2719,150.8389,0.2043
26.0000,12.2914,12.2719,150.8389,0.2043
27.0000,12.2914,12.2719,150.8389,0.2043
28.0000,12.2914,12.2719,150.8389,0.2043
29.0000,12.2914,12.2719,150.8389,0.2043
30.0000,12.2914,12.2719,150.8389,0.2043
31.0000,12.2914,12.2719,150.8389,0.2043
32.0000,12.2914,12.2719,150.8389,0.2043
33.0000,12.2914,12.2719,150.8389,0.2043
34.0000,12.2914,12.2719,150.8389,0.2043
35.0000,12.2914,12.2719,150.8389,0.2043
36.0000,12.2914,12.2719,150.8389,0.2043
37.0000,12.2914,12.2719,150.8389,0.2043
38.0000,12.2914,12.2719,150.8389,0.2043
39.0000,12.2914,12.2719,150.8389,0.2043
40.0000,12.2914,12.2719,150.8389,0.2043
41.0000,12.2914,12.2719,150.8389,0.2043
42.0000,12.2914,12.2719,150.8389,0.2043
43.0000,12.2914,12.2719,150.8389,0.2043
44.0000,12.2914,12.2719,150.8389,0.2043
45.0000,12.2914,12.2719,150.8389,0.2043
46.0000,12.2914,12.2719,150.8389,0.2043
47.0000,12.2914,12.2719,150.8389,0.2043
48.0000,12.2914,12.2719,150.8389,0.2043
49.0000,12.2914,12.2719,150.8389,0.2043
50.0000,12.2914,12.2719,150.8389,0.2043
51.0000,12.2914,12.2719,150.8389,0.2043
52.0000,12.2914,12.2719,150.8389,0.2043
53.0000,12.2914,12.2719,150.8389,0.2043
54.0000,12.2914,12.2719,150.8389,0.2043
55.0000,12.2914,12.2719,150.8389,0.2043
56.0000,12.2914,12.2719,150.8389,0.2043
57.0000,12.2914,12.2719,150.8389,0.2043
58.0000,12.2914,12.2719,150.8389,0.2043
59.0000,12.2914,12.2719,150.8389,0.2043
60.0000,12.2914,12.2719,150.8389,0.2043
61.0000,12.2914,12.2719,150.8389,0.2043
62.0000,12.2914,12.2719,150.8389,0.2043
63.0000,12.2914,12.2719,150.8389,0.2043
64.0000,12.2914,12.2719,150.8389,0.2043
65.0000,12.2914,12.2719,150.8389,0.2043
66.0000,12.2914,12.2719,150.8389,0.2043
67.0000,12.2914,12.2719,150.8389,0.2043
68.0000,12.2914,12.2719,150.8389,0.2043
69.0000,12.2914,12.2719,150.8389,0.2043
