time,width,height,area
0.0000,10.5420,10.8931,114.8353
1.0000,10.5420,10.8931,114.8353
2.0000,10.5420,10.8931,114.8353
3.0000,10.5420,10.8931,114.8353
4.0000,10.5420,10.8931,114.8353
5.0000,10.5420,10.8931,114.8353
6.0000,10.5420,10.8931,114.8353
7.0000,10.5420,10.8931,114.8353
8.0000,10.5420,10.8931,114.8353
9.0000,10.5420,10.8931,114.8353
10.0000,10.5420,10.8931,114.8353
11.0000,10.5420,10.8931,114.8353
12.0000,10.5420,10.8931,114.8353
13.0000,10.5420,10.8931,114.8353
14.0000,10.5420,10.8931,114.8353
15.0000,10.5420,10.8931,114.8353
16.0000,10.5420,10.8931,114.8353
17.0000,10.5420,10.8931,114.8353
18.0000,10.5420,10.8931,114.8353
19.0000,10.5420,10.8931,114.8353
20.0000,10.5420,10.8931,114.8353
21.0000,10.5420,10.8931,114.8353
22.0000,10.5420,10.8931,114.8353
23.0000,10.5420,10.8931,114.8353
24.0000,10.5420,10.8931,114.8353
25.0000,10.5420,10.8931,114.8353
26.0000,10.5420,10.8931,114.8353
27.0000,10.5420,10.8931,114.8353
28.0000,10.5420,10.8931,114.8353
29.0000,10.5420,10.8931,114.8353
30.0000,10.5420,10.8931,114.8353
31.0000,10.5420,10.8931,114.8353
32.0000,10.5420,10.8931,114.8353
33.0000,10.5420,10.8931,114.8353
34.0000,10.5420,10.8931,114.8353
35.0000,10.5420,10.8931,114.8353
36.0000,10.5420,10.8931,114.8353
37.0000,10.5420,10.8931,114.8353
38.0000,10.5420,10.8931,114.8353
39.0000,10.5420,10.8931,114.8353
40.0000,10.5420,10.8931,114.8353
41.0000,10.5420,10.8931,114.8353
42.0000,10.5420,10.8931,114.8353
43.0000,10.5420,10.8931,114.8353
44.0000,10.5420,10.8931,114.8353
45.0000,10.5420,10.8931,114.8353
46.0000,10.5420,10.8931,114.8353
47.0000,10.5420,10.8931,114.8353
48.0000,10.5420,10.8931,114.8353
49.0000,10.5420,10.8931,114.8353
50.0000,10.5420,10.8931,114.8353
51.0000,10.5420,10.8931,114.8353
52.0000,10.5420,10.8931,114.8353
53.0000,10.5420,10.8931,114.8353
54.0000,10.5420,10.8931,114.8353
55.0000,10.5420,10.8931,114.8353
56.0000,10.5420,10.8931,114.8353
57.0000,10.5420,10.8931,114.8353
58.0000,10.5420,10.8931,114.8353
59.0000,10.5420,10.8931,114.8353
60.0000,10.5420,10.8931,114.8353
61.0000,10.5420,10.8931,114.8353
62.0000,10.5420,10.8931,114.8353
63.0000,10.5420,10.8931,114.8353
64.0000,10.5420,10.8931,114.8353
65.0000,10.5420,10.8931,114.8353
66.0000,10.5420,10.8931,114.8353
67.0000,10.5420,10.8931,114.8353
68.0000,10.5420,10.8931,114.8353
69.0000,10.5420,10.8931,114.8353
70.0000,10.5420,10.8931,114.8353
71.0000,10.5420,10.8931,114.8353
72.0000,10.5420,10.8931,114.8353
73.0000,10.5420,10.8931,114.8353
74.0000,10.5420,10.8931,114.8353
75.0000,10.5420,10.8931,114.8353
76.0000,10.5420,10.8931,114.8353
77.0000,10.5420,10.8931,114.8353
78.0000,10.5420,10.8931,114.8353
79.0000,10.5420,10.8931,114.8353
80.0000,10.5420,10.8931,114.8353
81.0000,10.5420,10.8931,114.8353
82.0000,10.5420,10.8931,114.8353
83.0000,10.5420,10.8931,114.8353
84.0000,10.5420,10.8931,114.8353
85.0000,10.5420,10.8931,114.8353
86.0000,10.5420,10.8931,114.8353
87.0000,10.5420,10.8931,114.8353
88.0000,10.5420,10.8931,114.8353
89.0000,10.5420,10.8931,114.8353
90.0000,10.5420,10.8931,114.8353
91.0000,10.5420,10.8931,114.8353
92.0000,10.5420,10.8931,114.8353
93.0000,10.5420,10.8931,114.8353
94.0000,10.5420,10.8931,114.8353
95.0000,10.5420,10.8931,114.8353
96.0000,10.5420,10.8931,114.8353
97.0000,10.5420,10.8931,114.8353
98.0000,10.5420,10.8931,114.8353
99.0000,10.5420,10.8931,114.8353
100.0000,10.5420,10.8931,114.8353
101.0000,10.5420,10.8931,114.8353
102.0000,10.5420,10.8931,114.8353
103.0000,10.5420,10.8931,114.8353
104.0000,10.5420,10.8931,114.8353
105.0000,10.5420,10.8931,114.8353
106.0000,10.5420,10.8931,114.8353
107.0000,10.5420,10.8931,114.8353
108.0000,10.5420,10.8931,114.8353
109.0000,10.5420,10.8931,114.8353
110.0000,10.5420,10.8931,114.8353
111.0000,10.5420,10.8931,114.8353
112.0000,10.5420,10.8931,114.8353
113.0000,10.5420,10.8931,114.8353
114.0000,10.5420,10.8931,114.8353
115.0000,10.5420,10.8931,114.8353
116.0000,10.5420,10.8931,114.8353
117.0000,10.5420,10.8931,114.8353
118.0000,10.5420,10.8931,114.8353
119.0000,10.5420,10.8931,114.8353
119.9900,10.5420,10.8931,114.8353
