time,minX,maxX,minY,maxY,width,height,area
0.0000,2.9119,7.8697,1.9441,8.3099,4.9579,6.3658,31.5609
0.9900,2.8920,7.9572,1.9441,8.3099,5.0652,6.3658,32.2442
