time,width,height,area
0.0000,10.8544,10.8588,117.8652
2.0000,10.8544,10.8588,117.8652
4.0000,10.8544,10.8588,117.8652
6.0000,10.8544,10.8588,117.8652
8.0000,10.8544,10.8588,117.8652
10.0000,10.8544,10.8588,117.8652
12.0000,10.8544,10.8588,117.8652
14.0000,10.8544,10.8588,117.8652
16.0000,10.8544,10.8588,117.8652
18.0000,10.8544,10.8588,117.8652
20.0000,10.8544,10.8588,117.8652
22.0000,10.8544,10.8588,117.8652
24.0000,10.8544,10.8588,117.8652
26.0000,10.8544,10.8588,117.8652
28.0000,10.8544,10.8588,117.8652
30.0000,10.8544,10.8588,117.8652
32.0000,10.8544,10.8588,117.8652
34.0000,10.8544,10.8588,117.8652
36.0000,10.8544,10.8588,117.8652
38.0000,10.8544,10.8588,117.8652
40.0000,10.8544,10.8588,117.8652
42.0000,10.8544,10.8588,117.8652
44.0000,10.8544,10.8588,117.8652
46.0000,10.8544,10.8588,117.8652
48.0000,10.8544,10.8588,117.8652
50.0000,10.8544,10.8588,117.8652
52.0000,10.8544,10.8588,117.8652
54.0000,10.8544,10.8588,117.8652
56.0000,10.8544,10.8588,117.8652
58.0000,10.8544,10.8588,117.8652
60.0000,10.8544,10.8588,117.8652
62.0000,10.8544,10.8588,117.8652
64.0000,10.8544,10.8588,117.8652
66.0000,10.8544,10.8588,117.8652
68.0000,10.8544,10.8588,117.8652
70.0000,10.8544,10.8588,117.8652
72.0000,10.8544,10.8588,117.8652
74.0000,10.8544,10.8588,117.8652
76.0000,10.8544,10.8588,117.8652
78.0000,10.8544,10.8588,117.8652
80.0000,10.8544,10.8588,117.8652
82.0000,10.8544,10.8588,117.8652
84.0000,10.8544,10.8588,117.8652
86.0000,10.8544,10.8588,117.8652
88.0000,10.8544,10.8588,117.8652
90.0000,10.8544,10.8588,117.8652
92.0000,10.8544,10.8588,117.8652
94.0000,10.8544,10.8588,117.8652
96.0000,10.8544,10.8588,117.8652
98.0000,10.8544,10.8588,117.8652
100.0000,10.8544,10.8588,117.8652
102.0000,10.8544,10.8588,117.8652
104.0000,10.8544,10.8588,117.8652
106.0000,10.8544,10.8588,117.8652
108.0000,10.8544,10.8588,117.8652
110.0000,10.8544,10.8588,117.8652
112.0000,10.8544,10.8588,117.8652
114.0000,10.8544,10.8588,117.8652
116.0000,10.8544,10.8588,117.8652
118.0000,10.8544,10.8588,117.8652
120.0000,10.8544,10.8588,117.8652
122.0000,10.8544,10.8588,117.8652
124.0000,10.8544,10.8588,117.8652
126.0000,10.8544,10.8588,117.8652
128.0000,10.8544,10.8588,117.8652
130.0000,10.8544,10.8588,117.8652
132.0000,10.8544,10.8588,117.8652
134.0000,10.8544,10.8588,117.8652
136.0000,10.8544,10.8588,117.8652
138.0000,10.8544,10.8588,117.8652
140.0000,10.8544,10.8588,117.8652
142.0000,10.8544,10.8588,117.8652
144.0000,10.8544,10.8588,117.8652
146.0000,10.8544,10.8588,117.8652
148.0000,10.8544,10.8588,117.8652
150.0000,10.8544,10.8588,117.8652
152.0000,10.8544,10.8588,117.8652
154.0000,10.8544,10.8588,117.8652
156.0000,10.8544,10.8588,117.8652
158.0000,10.8544,10.8588,117.8652
159.9800,10.8544,10.8588,117.8652
