time,width,height,area
0.0000,10.9438,10.8850,119.1240
5.0000,10.9438,10.8850,119.1240
10.0000,10.9438,10.8850,119.1240
15.0000,10.9438,10.8850,119.1240
20.0000,10.9438,10.8850,119.1240
25.0000,10.9438,10.8850,119.1240
30.0000,10.9438,10.8850,119.1240
35.0000,10.9438,10.8850,119.1240
40.0000,10.9438,10.8850,119.1240
45.0000,10.9438,10.8850,119.1240
50.0000,10.9438,10.8850,119.1240
55.0000,10.9438,10.8850,119.1240
60.0000,10.9438,10.8850,119.1240
65.0000,10.9438,10.8850,119.1240
70.0000,10.9438,10.8850,119.1240
75.0000,10.9438,10.8850,119.1240
80.0000,10.9438,10.8850,119.1240
85.0000,10.9438,10.8850,119.1240
90.0000,10.9438,10.8850,119.1240
95.0000,10.9438,10.8850,119.1240
100.0000,10.9438,10.8850,119.1240
105.0000,10.9438,10.8850,119.1240
110.0000,10.9438,10.8850,119.1240
115.0000,10.9438,10.8850,119.1240
120.0000,10.9438,10.8850,119.1240
125.0000,10.9438,10.8850,119.1240
130.0000,10.9438,10.8850,119.1240
135.0000,10.9438,10.8850,119.1240
140.0000,10.9438,10.8850,119.1240
145.0000,10.9438,10.8850,119.1240
150.0000,10.9438,10.8850,119.1240
155.0000,10.9438,10.8850,119.1240
160.0000,10.9438,10.8850,119.1240
165.0000,10.9438,10.8850,119.1240
170.0000,10.9438,10.8850,119.1240
175.0000,10.9438,10.8850,119.1240
180.0000,10.9438,10.8850,119.1240
185.0000,10.9438,10.8850,119.1240
190.0000,10.9438,10.8850,119.1240
195.0000,10.9438,10.8850,119.1240
200.0000,10.9438,10.8850,119.1240
205.0000,10.9438,10.8850,119.1240
210.0000,10.9438,10.8850,119.1240
215.0000,10.9438,10.8850,119.1240
220.0000,10.9438,10.8850,119.1240
225.0000,10.9438,10.8850,119.1240
230.0000,10.9438,10.8850,119.1240
235.0000,10.9438,10.8850,119.1240
240.0000,10.9438,10.8850,119.1240
245.0000,10.9438,10.8850,119.1240
249.9500,10.9438,10.8850,119.1240
