time,potential_energy,kinetic_energy,overlaps
0.0000,24.5034,0.0180,10
3.0000,6.9909,0.0091,12
6.0000,2.5825,0.0027,10
9.0000,1.1299,0.0010,10
12.0000,0.5570,0.0004,10
15.0000,0.3002,0.0002,8
18.0000,0.1733,0.0001,8
21.0000,0.1057,0.0001,10
24.0000,0.0674,0.0000,10
27.0000,0.0446,0.0000,10
30.0000,0.0305,0.0000,10
33.0000,0.0214,0.0000,10
36.0000,0.0154,0.0000,10
39.0000,0.0113,0.0000,10
42.0000,0.0084,0.0000,10
45.0000,0.0064,0.0000,10
48.0000,0.0049,0.0000,10
51.0000,0.0039,0.0000,10
54.0000,0.0030,0.0000,10
57.0000,0.0024,0.0000,10
60.0000,0.0020,0.0000,10
63.0000,0.0016,0.0000,10
66.0000,0.0013,0.0000,10
69.0000,0.0011,0.0000,10
72.0000,0.0009,0.0000,10
75.0000,0.0008,0.0000,10
78.0000,0.0006,0.0000,10
81.0000,0.0005,0.0000,10
84.0000,0.0005,0.0000,10
87.0000,0.0004,0.0000,10
90.0000,0.0003,0.0000,10
93.0000,0.0003,0.0000,10
96.0000,0.0003,0.0000,10
99.0000,0.0002,0.0000,10
102.0000,0.0002,0.0000,10
105.0000,0.0002,0.0000,10
108.0000,0.0001,0.0000,10
111.0000,0.0001,0.0000,10
114.0000,0.0001,0.0000,10
117.0000,0.0001,0.0000,10
120.0000,0.0001,0.0000,10
123.0000,0.0001,0.0000,10
126.0000,0.0001,0.0000,10
129.0000,0.0001,0.0000,10
132.0000,0.0001,0.0000,10
135.0000,0.0001,0.0000,10
138.0000,0.0000,0.0000,10
141.0000,0.0000,0.0000,10
144.0000,0.0000,0.0000,10
147.0000,0.0000,0.0000,10
150.0000,0.0000,0.0000,10
153.0000,0.0000,0.0000,10
156.0000,0.0000,0.0000,10
159.0000,0.0000,0.0000,10
162.0000,0.0000,0.0000,10
165.0000,0.0000,0.0000,10
168.0000,0.0000,0.0000,10
171.0000,0.0000,0.0000,10
174.0000,0.0000,0.0000,10
177.0000,0.0000,0.0000,10
180.0000,0.0000,0.0000,10
183.0000,0.0000,0.0000,10
186.0000,0.0000,0.0000,10
189.0000,0.0000,0.0000,10
192.0000,0.0000,0.0000,10
195.0000,0.0000,0.0000,10
198.0000,0.0000,0.0000,10
201.0000,0.0000,0.0000,10
204.0000,0.0000,0.0000,10
207.0000,0.0000,0.0000,10
210.0000,0.0000,0.0000,10
213.0000,0.0000,0.0000,10
216.0000,0.0000,0.0000,10
219.0000,0.0000,0.0000,10
222.0000,0.0000,0.0000,10
225.0000,0.0000,0.0000,10
228.0000,0.0000,0.0000,10
231.0000,0.0000,0.0000,10
234.0000,0.0000,0.0000,10
237.0000,0.0000,0.0000,10
240.0000,0.0000,0.0000,10
243.0000,0.0000,0.0000,10
246.0000,0.0000,0.0000,10
249.0000,0.0000,0.0000,10
252.0000,0.0000,0.0000,10
255.0000,0.0000,0.0000,10
258.0000,0.0000,0.0000,10
261.0000,0.0000,0.0000,10
264.0000,0.0000,0.0000,10
267.0000,0.0000,0.0000,10
270.0000,0.0000,0.0000,10
273.0000,0.0000,0.0000,10
276.0000,0.0000,0.0000,10
279.0000,0.0000,0.0000,10
282.0000,0.0000,0.0000,10
285.0000,0.0000,0.0000,10
288.0000,0.0000,0.0000,10
291.0000,0.0000,0.0000,10
294.0000,0.0000,0.0000,10
297.0000,0.0000,0.0000,10
300.0000,0.0000,0.0000,10
303.0000,0.0000,0.0000,10
306.0000,0.0000,0.0000,10
309.0000,0.0000,0.0000,10
312.0000,0.0000,0.0000,10
315.0000,0.0000,0.0000,10
318.0000,0.0000,0.0000,10
321.0000,0.0000,0.0000,10
324.0000,0.0000,0.0000,10
327.0000,0.0000,0.0000,10
330.0000,0.0000,0.0000,10
333.0000,0.0000,0.0000,10
336.0000,0.0000,0.0000,10
339.0000,0.0000,0.0000,10
342.0000,0.0000,0.0000,10
345.0000,0.0000,0.0000,10
348.0000,0.0000,0.0000,10
351.0000,0.0000,0.0000,10
354.0000,0.0000,0.0000,10
357.0000,0.0000,0.0000,10
359.9700,0.0000,0.0000,10
