time,width,height,area,actual_area,density
0.0000,11.0000,11.0000,100.0000,121.0000,0.2264
2.0000,11.0000,11.0000,100.0000,121.0000,0.2264
4.0000,11.0000,11.0000,100.0000,121.0000,0.2264
6.0000,11.0000,11.0000,100.0000,121.0000,0.2264
8.0000,11.0000,11.0000,100.0000,121.0000,0.2264
10.0000,11.0000,11.0000,100.0000,121.0000,0.2264
12.0000,11.0000,11.0000,100.0000,121.0000,0.2264
14.0000,11.0000,11.0000,100.0000,121.0000,0.2264
16.0000,11.0000,11.0000,100.0000,121.0000,0.2264
18.0000,11.0000,11.0000,100.0000,121.0000,0.2264
20.0000,11.0000,11.0000,100.0000,121.0000,0.2264
22.0000,11.0000,11.0000,100.0000,121.0000,0.2264
24.0000,11.0000,11.0000,100.0000,121.0000,0.2264
26.0000,11.0000,11.0000,100.0000,121.0000,0.2264
28.0000,11.0000,11.0000,100.0000,121.0000,0.2264
30.0000,11.0000,11.0000,100.0000,121.0000,0.2264
32.0000,11.0000,11.0000,100.0000,121.0000,0.2264
34.0000,11.0000,11.0000,100.0000,121.0000,0.2264
36.0000,11.0000,11.0000,100.0000,121.0000,0.2264
38.0000,11.0000,11.0000,100.0000,121.0000,0.2264
40.0000,11.0000,11.0000,100.0000,121.0000,0.2264
42.0000,11.0000,11.0000,100.0000,121.0000,0.2264
44.0000,11.0000,11.0000,100.0000,121.0000,0.2264
46.0000,11.0000,11.0000,100.0000,121.0000,0.2264
48.0000,11.0000,11.0000,100.0000,121.0000,0.2264
50.0000,11.0000,11.0000,100.0000,121.0000,0.2264
52.0000,11.0000,11.0000,100.0000,121.0000,0.2264
54.0000,11.0000,11.0000,100.0000,121.0000,0.2264
56.0000,11.0000,11.0000,100.0000,121.0000,0.2264
58.0000,11.0000,11.0000,100.0000,121.0000,0.2264
60.0000,11.0000,11.0000,100.0000,121.0000,0.2264
62.0000,11.0000,11.0000,100.0000,121.0000,0.2264
64.0000,11.0000,11.0000,100.0000,121.0000,0.2264
66.0000,11.0000,11.0000,100.0000,121.0000,0.2264
68.0000,11.0000,11.0000,100.0000,121.0000,0.2264
70.0000,11.0000,11.0000,100.0000,121.0000,0.2264
72.0000,11.0000,11.0000,100.0000,121.0000,0.2264
74.0000,11.0000,11.0000,100.0000,121.0000,0.2264
76.0000,11.0000,11.0000,100.0000,121.0000,0.2264
78.0000,11.0000,11.0000,100.0000,121.0000,0.2264
80.0000,11.0000,11.0000,100.0000,121.0000,0.2264
82.0000,11.0000,11.0000,100.0000,121.0000,0.2264
84.0000,11.0000,11.0000,100.0000,121.0000,0.2264
86.0000,11.0000,11.0000,100.0000,121.0000,0.2264
88.0000,11.0000,11.0000,100.0000,121.0000,0.2264
90.0000,11.0000,11.0000,100.0000,121.0000,0.2264
92.0000,11.0000,11.0000,100.0000,121.0000,0.2264
94.0000,11.0000,11.0000,100.0000,121.0000,0.2264
96.0000,11.0000,11.0000,100.0000,121.0000,0.2264
98.0000,11.0000,11.0000,100.0000,121.0000,0.2264
100.0000,11.0000,11.0000,100.0000,121.0000,0.2264
102.0000,11.0000,11.0000,100.0000,121.0000,0.2264
104.0000,11.0000,11.0000,100.0000,121.0000,0.2264
106.0000,11.0000,11.0000,100.0000,121.0000,0.2264
108.0000,11.0000,11.0000,100.0000,121.0000,0.2264
110.0000,11.0000,11.0000,100.0000,121.0000,0.2264
112.0000,11.0000,11.0000,100.0000,121.0000,0.2264
114.0000,11.0000,11.0000,100.0000,121.0000,0.2264
116.0000,11.0000,11.0000,100.0000,121.0000,0.2264
118.0000,11.0000,11.0000,100.0000,121.0000,0.2264
120.0000,11.0000,11.0000,100.0000,121.0000,0.2264
122.0000,11.0000,11.0000,100.0000,121.0000,0.2264
124.0000,11.0000,11.0000,100.0000,121.0000,0.2264
126.0000,11.0000,11.0000,100.0000,121.0000,0.2264
128.0000,11.0000,11.0000,100.0000,121.0000,0.2264
130.0000,11.0000,11.0000,100.0000,121.0000,0.2264
132.0000,11.0000,11.0000,100.0000,121.0000,0.2264
134.0000,11.0000,11.0000,100.0000,121.0000,0.2264
136.0000,11.0000,11.0000,100.0000,121.0000,0.2264
138.0000,11.0000,11.0000,100.0000,121.0000,0.2264
140.0000,11.0000,11.0000,100.0000,121.0000,0.2264
142.0000,11.0000,11.0000,100.0000,121.0000,0.2264
144.0000,11.0000,11.0000,100.0000,121.0000,0.2264
146.0000,11.0000,11.0000,100.0000,121.0000,0.2264
148.0000,11.0000,11.0000,100.0000,121.0000,0.2264
150.0000,11.0000,11.0000,100.0000,121.0000,0.2264
152.0000,11.0000,11.0000,100.0000,121.0000,0.2264
154.0000,11.0000,11.0000,100.0000,121.0000,0.2264
156.0000,11.0000,11.0000,100.0000,121.0000,0.2264
158.0000,11.0000,11.0000,100.0000,121.0000,0.2264
160.0000,11.0000,11.0000,100.0000,121.0000,0.2264
162.0000,11.0000,11.0000,100.0000,121.0000,0.2264
164.0000,11.0000,11.0000,100.0000,121.0000,0.2264
166.0000,11.0000,11.0000,100.0000,121.0000,0.2264
168.0000,11.0000,11.0000,100.0000,121.0000,0.2264
170.0000,11.0000,11.0000,100.0000,121.0000,0.2264
172.0000,11.0000,11.0000,100.0000,121.0000,0.2264
174.0000,11.0000,11.0000,100.0000,121.0000,0.2264
176.0000,11.0000,11.0000,100.0000,121.0000,0.2264
178.0000,11.0000,11.0000,100.0000,121.0000,0.2264
180.0000,11.0000,11.0000,100.0000,121.0000,0.2264
182.0000,11.0000,11.0000,100.0000,121.0000,0.2264
184.0000,11.0000,11.0000,100.0000,121.0000,0.2264
186.0000,11.0000,11.0000,100.0000,121.0000,0.2264
188.0000,11.0000,11.0000,100.0000,121.0000,0.2264
190.0000,11.0000,11.0000,100.0000,121.0000,0.2264
192.0000,11.0000,11.0000,100.0000,121.0000,0.2264
194.0000,11.0000,11.0000,100.0000,121.0000,0.2264
196.0000,11.0000,11.0000,100.0000,121.0000,0.2264
198.0000,11.0000,11.0000,100.0000,121.0000,0.2264
200.0000,11.0000,11.0000,100.0000,121.0000,0.2264
202.0000,11.0000,11.0000,100.0000,121.0000,0.2264
204.0000,11.0000,11.0000,100.0000,121.0000,0.2264
206.0000,11.0000,11.0000,100.0000,121.0000,0.2264
208.0000,11.0000,11.0000,100.0000,121.0000,0.2264
210.0000,11.0000,11.0000,100.0000,121.0000,0.2264
212.0000,11.0000,11.0000,100.0000,121.0000,0.2264
214.0000,11.0000,11.0000,100.0000,121.0000,0.2264
216.0000,11.0000,11.0000,100.0000,121.0000,0.2264
218.0000,11.0000,11.0000,100.0000,121.0000,0.2264
220.0000,11.0000,11.0000,100.0000,121.0000,0.2264
