time,width,height,area,actual_area,density
0.0000,11.0000,11.0000,100.0000,121.0000,0.2502
3.0000,11.0000,11.0000,100.0000,121.0000,0.2502
6.0000,11.0000,11.0000,100.0000,121.0000,0.2502
9.0000,11.0000,11.0000,100.0000,121.0000,0.2502
12.0000,11.0000,11.0000,100.0000,121.0000,0.2502
15.0000,11.0000,11.0000,100.0000,121.0000,0.2502
18.0000,11.0000,11.0000,100.0000,121.0000,0.2502
21.0000,11.0000,11.0000,100.0000,121.0000,0.2502
24.0000,11.0000,11.0000,100.0000,121.0000,0.2502
27.0000,11.0000,11.0000,100.0000,121.0000,0.2502
30.0000,11.0000,11.0000,100.0000,121.0000,0.2502
33.0000,11.0000,11.0000,100.0000,121.0000,0.2502
36.0000,11.0000,11.0000,100.0000,121.0000,0.2502
39.0000,11.0000,11.0000,100.0000,121.0000,0.2502
42.0000,11.0000,11.0000,100.0000,121.0000,0.2502
45.0000,11.0000,11.0000,100.0000,121.0000,0.2502
48.0000,11.0000,11.0000,100.0000,121.0000,0.2502
51.0000,11.0000,11.0000,100.0000,121.0000,0.2502
54.0000,11.0000,11.0000,100.0000,121.0000,0.2502
57.0000,11.0000,11.0000,100.0000,121.0000,0.2502
60.0000,11.0000,11.0000,100.0000,121.0000,0.2502
63.0000,11.0000,11.0000,100.0000,121.0000,0.2502
66.0000,11.0000,11.0000,100.0000,121.0000,0.2502
69.0000,11.0000,11.0000,100.0000,121.0000,0.2502
72.0000,11.0000,11.0000,100.0000,121.0000,0.2502
75.0000,11.0000,11.0000,100.0000,121.0000,0.2502
78.0000,11.0000,11.0000,100.0000,121.0000,0.2502
81.0000,11.0000,11.0000,100.0000,121.0000,0.2502
84.0000,11.0000,11.0000,100.0000,121.0000,0.2502
87.0000,11.0000,11.0000,100.0000,121.0000,0.2502
90.0000,11.0000,11.0000,100.0000,121.0000,0.2502
93.0000,11.0000,11.0000,100.0000,121.0000,0.2502
96.0000,11.0000,11.0000,100.0000,121.0000,0.2502
99.0000,11.0000,11.0000,100.0000,121.0000,0.2502
102.0000,11.0000,11.0000,100.0000,121.0000,0.2502
105.0000,11.0000,11.0000,100.0000,121.0000,0.2502
108.0000,11.0000,11.0000,100.0000,121.0000,0.2502
111.0000,11.0000,11.0000,100.0000,121.0000,0.2502
114.0000,11.0000,11.0000,100.0000,121.0000,0.2502
117.0000,11.0000,11.0000,100.0000,121.0000,0.2502
120.0000,11.0000,11.0000,100.0000,121.0000,0.2502
123.0000,11.0000,11.0000,100.0000,121.0000,0.2502
126.0000,11.0000,11.0000,100.0000,121.0000,0.2502
129.0000,11.0000,11.0000,100.0000,121.0000,0.2502
132.0000,11.0000,11.0000,100.0000,121.0000,0.2502
135.0000,11.0000,11.0000,100.0000,121.0000,0.2502
138.0000,11.0000,11.0000,100.0000,121.0000,0.2502
141.0000,11.0000,11.0000,100.0000,121.0000,0.2502
144.0000,11.0000,11.0000,100.0000,121.0000,0.2502
147.0000,11.0000,11.0000,100.0000,121.0000,0.2502
150.0000,11.0000,11.0000,100.0000,121.0000,0.2502
153.0000,11.0000,11.0000,100.0000,121.0000,0.2502
156.0000,11.0000,11.0000,100.0000,121.0000,0.2502
159.0000,11.0000,11.0000,100.0000,121.0000,0.2502
162.0000,11.0000,11.0000,100.0000,121.0000,0.2502
165.0000,11.0000,11.0000,100.0000,121.0000,0.2502
168.0000,11.0000,11.0000,100.0000,121.0000,0.2502
171.0000,11.0000,11.0000,100.0000,121.0000,0.2502
174.0000,11.0000,11.0000,100.0000,121.0000,0.2502
177.0000,11.0000,11.0000,100.0000,121.0000,0.2502
180.0000,11.0000,11.0000,100.0000,121.0000,0.2502
183.0000,11.0000,11.0000,100.0000,121.0000,0.2502
186.0000,11.0000,11.0000,100.0000,121.0000,0.2502
189.0000,11.0000,11.0000,100.0000,121.0000,0.2502
192.0000,11.0000,11.0000,100.0000,121.0000,0.2502
195.0000,11.0000,11.0000,100.0000,121.0000,0.2502
198.0000,11.0000,11.0000,100.0000,121.0000,0.2502
201.0000,11.0000,11.0000,100.0000,121.0000,0.2502
204.0000,11.0000,11.0000,100.0000,121.0000,0.2502
207.0000,11.0000,11.0000,100.0000,121.0000,0.2502
210.0000,11.0000,11.0000,100.0000,121.0000,0.2502
213.0000,11.0000,11.0000,100.0000,121.0000,0.2502
216.0000,11.0000,11.0000,100.0000,121.0000,0.2502
219.0000,11.0000,11.0000,100.0000,121.0000,0.2502
222.0000,11.0000,11.0000,100.0000,121.0000,0.2502
225.0000,11.0000,11.0000,100.0000,121.0000,0.2502
228.0000,11.0000,11.0000,100.0000,121.0000,0.2502
231.0000,11.0000,11.0000,100.0000,121.0000,0.2502
234.0000,11.0000,11.0000,100.0000,121.0000,0.2502
237.0000,11.0000,11.0000,100.0000,121.0000,0.2502
