time,potential_energy,kinetic_energy,overlaps
0.0000,2.0656,0.0004,8
2.0000,1.4300,0.0006,8
4.0000,1.0153,0.0004,8
6.0000,0.7372,0.0003,8
8.0000,0.5459,0.0002,8
10.0000,0.4112,0.0001,8
12.0000,0.3146,0.0001,8
14.0000,0.2440,0.0001,8
16.0000,0.1916,0.0001,8
18.0000,0.1522,0.0000,8
20.0000,0.1221,0.0000,8
22.0000,0.0989,0.0000,8
24.0000,0.0808,0.0000,8
26.0000,0.0665,0.0000,8
28.0000,0.0552,0.0000,8
30.0000,0.0461,0.0000,8
32.0000,0.0387,0.0000,8
34.0000,0.0327,0.0000,8
36.0000,0.0278,0.0000,8
38.0000,0.0238,0.0000,8
40.0000,0.0204,0.0000,8
42.0000,0.0176,0.0000,8
44.0000,0.0152,0.0000,8
46.0000,0.0133,0.0000,8
48.0000,0.0116,0.0000,8
50.0000,0.0101,0.0000,8
52.0000,0.0089,0.0000,8
54.0000,0.0079,0.0000,8
56.0000,0.0070,0.0000,8
58.0000,0.0062,0.0000,8
60.0000,0.0055,0.0000,8
62.0000,0.0049,0.0000,8
64.0000,0.0045,0.0000,8
66.0000,0.0041,0.0000,8
68.0000,0.0038,0.0000,8
70.0000,0.0035,0.0000,8
72.0000,0.0032,0.0000,8
74.0000,0.0030,0.0000,8
76.0000,0.0028,0.0000,8
78.0000,0.0026,0.0000,8
80.0000,0.0025,0.0000,8
82.0000,0.0023,0.0000,8
84.0000,0.0022,0.0000,8
86.0000,0.0021,0.0000,8
88.0000,0.0020,0.0000,8
90.0000,0.0019,0.0000,8
92.0000,0.0018,0.0000,8
94.0000,0.0017,0.0000,8
96.0000,0.0016,0.0000,8
98.0000,0.0015,0.0000,8
100.0000,0.0014,0.0000,8
102.0000,0.0014,0.0000,8
104.0000,0.0013,0.0000,8
106.0000,0.0013,0.0000,8
108.0000,0.0012,0.0000,8
110.0000,0.0012,0.0000,8
112.0000,0.0011,0.0000,8
114.0000,0.0011,0.0000,8
116.0000,0.0010,0.0000,8
118.0000,0.0010,0.0000,8
120.0000,0.0009,0.0000,8
122.0000,0.0009,0.0000,8
124.0000,0.0009,0.0000,8
126.0000,0.0008,0.0000,8
128.0000,0.0008,0.0000,8
130.0000,0.0008,0.0000,8
132.0000,0.0007,0.0000,8
134.0000,0.0007,0.0000,8
136.0000,0.0007,0.0000,8
138.0000,0.0006,0.0000,8
140.0000,0.0006,0.0000,8
142.0000,0.0006,0.0000,8
144.0000,0.0006,0.0000,8
146.0000,0.0006,0.0000,8
148.0000,0.0005,0.0000,8
150.0000,0.0005,0.0000,8
152.0000,0.0005,0.0000,8
154.0000,0.0005,0.0000,8
156.0000,0.0005,0.0000,8
158.0000,0.0004,0.0000,8
160.0000,0.0004,0.0000,8
162.0000,0.0004,0.0000,8
164.0000,0.0004,0.0000,8
166.0000,0.0004,0.0000,8
168.0000,0.0004,0.0000,8
170.0000,0.0004,0.0000,8
172.0000,0.0003,0.0000,8
174.0000,0.0003,0.0000,8
176.0000,0.0003,0.0000,8
178.0000,0.0003,0.0000,8
180.0000,0.0003,0.0000,8
182.0000,0.0003,0.0000,8
184.0000,0.0003,0.0000,8
186.0000,0.0003,0.0000,8
188.0000,0.0003,0.0000,8
190.0000,0.0003,0.0000,8
192.0000,0.0002,0.0000,8
194.0000,0.0002,0.0000,8
196.0000,0.0002,0.0000,8
198.0000,0.0002,0.0000,8
200.0000,0.0002,0.0000,8
202.0000,0.0002,0.0000,8
204.0000,0.0002,0.0000,8
206.0000,0.0002,0.0000,8
208.0000,0.0002,0.0000,8
210.0000,0.0002,0.0000,8
212.0000,0.0002,0.0000,8
214.0000,0.0002,0.0000,8
216.0000,0.0002,0.0000,8
218.0000,0.0002,0.0000,8
220.0000,0.0002,0.0000,8
222.0000,0.0002,0.0000,8
224.0000,0.0002,0.0000,8
226.0000,0.0001,0.0000,8
228.0000,0.0001,0.0000,8
230.0000,0.0001,0.0000,8
232.0000,0.0001,0.0000,8
234.0000,0.0001,0.0000,8
236.0000,0.0001,0.0000,8
238.0000,0.0001,0.0000,8
240.0000,0.0001,0.0000,8
242.0000,0.0001,0.0000,8
244.0000,0.0001,0.0000,8
246.0000,0.0001,0.0000,8
248.0000,0.0001,0.0000,8
250.0000,0.0001,0.0000,8
252.0000,0.0001,0.0000,8
254.0000,0.0001,0.0000,8
256.0000,0.0001,0.0000,8
258.0000,0.0001,0.0000,8
260.0000,0.0001,0.0000,8
262.0000,0.0001,0.0000,8
264.0000,0.0001,0.0000,8
266.0000,0.0001,0.0000,8
268.0000,0.0001,0.0000,8
270.0000,0.0001,0.0000,8
272.0000,0.0001,0.0000,8
274.0000,0.0001,0.0000,8
276.0000,0.0001,0.0000,8
278.0000,0.0001,0.0000,8
280.0000,0.0001,0.0000,8
282.0000,0.0001,0.0000,8
284.0000,0.0001,0.0000,8
286.0000,0.0001,0.0000,8
288.0000,0.0001,0.0000,8
290.0000,0.0001,0.0000,8
292.0000,0.0001,0.0000,8
294.0000,0.0001,0.0000,8
296.0000,0.0001,0.0000,8
298.0000,0.0001,0.0000,8
299.9800,0.0001,0.0000,8
