time,width,height,area,actual_area,density
0.0000,11.0000,11.0000,100.0000,121.0000,0.1792
1.0000,11.0000,11.0000,100.0000,121.0000,0.1792
2.0000,11.0000,11.0000,100.0000,121.0000,0.1792
3.0000,11.0000,11.0000,100.0000,121.0000,0.1792
4.0000,11.0000,11.0000,100.0000,121.0000,0.1792
5.0000,11.0000,11.0000,100.0000,121.0000,0.1792
6.0000,11.0000,11.0000,100.0000,121.0000,0.1792
7.0000,11.0000,11.0000,100.0000,121.0000,0.1792
8.0000,11.0000,11.0000,100.0000,121.0000,0.1792
9.0000,11.0000,11.0000,100.0000,121.0000,0.1792
10.0000,11.0000,11.0000,100.0000,121.0000,0.1792
11.0000,11.0000,11.0000,100.0000,121.0000,0.1792
12.0000,11.0000,11.0000,100.0000,121.0000,0.1792
13.0000,11.0000,11.0000,100.0000,121.0000,0.1792
14.0000,11.0000,11.0000,100.0000,121.0000,0.1792
15.0000,11.0000,11.0000,100.0000,121.0000,0.1792
16.0000,11.0000,11.0000,100.0000,121.0000,0.1792
17.0000,11.0000,11.0000,100.0000,121.0000,0.1792
18.0000,11.0000,11.0000,100.0000,121.0000,0.1792
19.0000,11.0000,11.0000,100.0000,121.0000,0.1792
20.0000,11.0000,11.0000,100.0000,121.0000,0.1792
21.0000,11.0000,11.0000,100.0000,121.0000,0.1792
22.0000,11.0000,11.0000,100.0000,121.0000,0.1792
23.0000,11.0000,11.0000,100.0000,121.0000,0.1792
24.0000,11.0000,11.0000,100.0000,121.0000,0.1792
25.0000,11.0000,11.0000,100.0000,121.0000,0.1792
26.0000,11.0000,11.0000,100.0000,121.0000,0.1792
27.0000,11.0000,11.0000,100.0000,121.0000,0.1792
28.0000,11.0000,11.0000,100.0000,121.0000,0.1792
29.0000,11.0000,11.0000,100.0000,121.0000,0.1792
30.0000,11.0000,11.0000,100.0000,121.0000,0.1792
31.0000,11.0000,11.0000,100.0000,121.0000,0.1792
32.0000,11.0000,11.0000,100.0000,121.0000,0.1792
33.0000,11.0000,11.0000,100.0000,121.0000,0.1792
34.0000,11.0000,11.0000,100.0000,121.0000,0.1792
35.0000,11.0000,11.0000,100.0000,121.0000,0.1792
36.0000,11.0000,11.0000,100.0000,121.0000,0.1792
37.0000,11.0000,11.0000,100.0000,121.0000,0.1792
38.0000,11.0000,11.0000,100.0000,121.0000,0.1792
39.0000,11.0000,11.0000,100.0000,121.0000,0.1792
40.0000,11.0000,11.0000,100.0000,121.0000,0.1792
41.0000,11.0000,11.0000,100.0000,121.0000,0.1792
42.0000,11.0000,11.0000,100.0000,121.0000,0.1792
43.0000,11.0000,11.0000,100.0000,121.0000,0.1792
44.0000,11.0000,11.0000,100.0000,121.0000,0.1792
45.0000,11.0000,11.0000,100.0000,121.0000,0.1792
46.0000,11.0000,11.0000,100.0000,121.0000,0.1792
47.0000,11.0000,11.0000,100.0000,121.0000,0.1792
48.0000,11.0000,11.0000,100.0000,121.0000,0.1792
49.0000,11.0000,11.0000,100.0000,121.0000,0.1792
50.0000,11.0000,11.0000,100.0000,121.0000,0.1792
51.0000,11.0000,11.0000,100.0000,121.0000,0.1792
52.0000,11.0000,11.0000,100.0000,121.0000,0.1792
53.0000,11.0000,11.0000,100.0000,121.0000,0.1792
54.0000,11.0000,11.0000,100.0000,121.0000,0.1792
55.0000,11.0000,11.0000,100.0000,121.0000,0.1792
56.0000,11.0000,11.0000,100.0000,121.0000,0.1792
57.0000,11.0000,11.0000,100.0000,121.0000,0.1792
58.0000,11.0000,11.0000,100.0000,121.0000,0.1792
59.0000,11.0000,11.0000,100.0000,121.0000,0.1792
60.0000,11.0000,11.0000,100.0000,121.0000,0.1792
61.0000,11.0000,11.0000,100.0000,121.0000,0.1792
62.0000,11.0000,11.0000,100.0000,121.0000,0.1792
63.0000,11.0000,11.0000,100.0000,121.0000,0.1792
64.0000,11.0000,11.0000,100.0000,121.0000,0.1792
65.0000,11.0000,11.0000,100.0000,121.0000,0.1792
66.0000,11.0000,11.0000,100.0000,121.0000,0.1792
67.0000,11.0000,11.0000,100.0000,121.0000,0.1792
68.0000,11.0000,11.0000,100.0000,121.0000,0.1792
69.0000,11.0000,11.0000,100.0000,121.0000,0.1792
70.0000,11.0000,11.0000,100.0000,121.0000,0.1792
71.0000,11.0000,11.0000,100.0000,121.0000,0.1792
72.0000,11.0000,11.0000,100.0000,121.0000,0.1792
73.0000,11.0000,11.0000,100.0000,121.0000,0.1792
74.0000,11.0000,11.0000,100.0000,121.0000,0.1792
75.0000,11.0000,11.0000,100.0000,121.0000,0.1792
76.0000,11.0000,11.0000,100.0000,121.0000,0.1792
77.0000,11.0000,11.0000,100.0000,121.0000,0.1792
78.0000,11.0000,11.0000,100.0000,121.0000,0.1792
79.0000,11.0000,11.0000,100.0000,121.0000,0.1792
80.0000,11.0000,11.0000,100.0000,121.0000,0.1792
81.0000,11.0000,11.0000,100.0000,121.0000,0.1792
82.0000,11.0000,11.0000,100.0000,121.0000,0.1792
83.0000,11.0000,11.0000,100.0000,121.0000,0.1792
84.0000,11.0000,11.0000,100.0000,121.0000,0.1792
85.0000,11.0000,11.0000,100.0000,121.0000,0.1792
86.0000,11.0000,11.0000,100.0000,121.0000,0.1792
87.0000,11.0000,11.0000,100.0000,121.0000,0.1792
88.0000,11.0000,11.0000,100.0000,121.0000,0.1792
89.0000,11.0000,11.0000,100.0000,121.0000,0.1792
90.0000,11.0000,11.0000,100.0000,121.0000,0.1792
91.0000,11.0000,11.0000,100.0000,121.0000,0.1792
92.0000,11.0000,11.0000,100.0000,121.0000,0.1792
93.0000,11.0000,11.0000,100.0000,121.0000,0.1792
94.0000,11.0000,11.0000,100.0000,121.0000,0.1792
95.0000,11.0000,11.0000,100.0000,121.0000,0.1792
96.0000,11.0000,11.0000,100.0000,121.0000,0.1792
97.0000,11.0000,11.0000,100.0000,121.0000,0.1792
98.0000,11.0000,11.0000,100.0000,121.0000,0.1792
99.0000,11.0000,11.0000,100.0000,121.0000,0.1792
100.0000,11.0000,11.0000,100.0000,121.0000,0.1792
101.0000,11.0000,11.0000,100.0000,121.0000,0.1792
102.0000,11.0000,11.0000,100.0000,121.0000,0.1792
103.0000,11.0000,11.0000,100.0000,121.0000,0.1792
104.0000,11.0000,11.0000,100.0000,121.0000,0.1792
105.0000,11.0000,11.0000,100.0000,121.0000,0.1792
106.0000,11.0000,11.0000,100.0000,121.0000,0.1792
107.0000,11.0000,11.0000,100.0000,121.0000,0.1792
108.0000,11.0000,11.0000,100.0000,121.0000,0.1792
109.0000,11.0000,11.0000,100.0000,121.0000,0.1792
110.0000,11.0000,11.0000,100.0000,121.0000,0.1792
