time,potential_energy,kinetic_energy,overlaps
0.0000,25.1607,0.0031,10
1.0000,20.2536,0.0051,8
2.0000,16.6216,0.0039,8
3.0000,13.8506,0.0030,8
4.0000,11.6852,0.0024,8
5.0000,9.9579,0.0019,8
6.0000,3.1216,0.0007,8
7.0000,2.6131,0.0006,8
8.0000,2.2024,0.0005,8
9.0000,1.8678,0.0004,8
10.0000,1.5931,0.0003,8
11.0000,1.3661,0.0003,8
12.0000,1.1773,0.0002,8
13.0000,1.0193,0.0002,8
14.0000,0.8863,0.0001,8
15.0000,0.7739,0.0001,8
16.0000,0.6785,0.0001,8
17.0000,0.5971,0.0001,8
18.0000,0.5274,0.0001,8
19.0000,0.4675,0.0001,8
20.0000,0.4158,0.0001,8
21.0000,0.3710,0.0001,8
22.0000,0.3321,0.0000,8
23.0000,0.2981,0.0000,8
24.0000,0.2684,0.0000,8
25.0000,0.2423,0.0000,8
26.0000,0.2193,0.0000,8
27.0000,0.1991,0.0000,8
28.0000,0.1811,0.0000,8
29.0000,0.1652,0.0000,8
30.0000,0.1511,0.0000,8
31.0000,0.1385,0.0000,8
32.0000,0.1272,0.0000,8
33.0000,0.1171,0.0000,8
34.0000,0.1081,0.0000,8
35.0000,0.0999,0.0000,8
36.0000,0.0926,0.0000,8
37.0000,0.0860,0.0000,8
38.0000,0.0800,0.0000,8
39.0000,0.0746,0.0000,8
40.0000,0.0696,0.0000,8
41.0000,0.0651,0.0000,8
42.0000,0.0610,0.0000,8
43.0000,0.0573,0.0000,8
44.0000,0.0539,0.0000,8
45.0000,0.0508,0.0000,8
46.0000,0.0479,0.0000,8
47.0000,0.0453,0.0000,8
48.0000,0.0429,0.0000,8
49.0000,0.0406,0.0000,8
50.0000,0.0386,0.0000,8
51.0000,0.0367,0.0000,8
52.0000,0.0349,0.0000,8
53.0000,0.0333,0.0000,8
54.0000,0.0318,0.0000,8
55.0000,0.0304,0.0000,8
56.0000,0.0291,0.0000,8
57.0000,0.0279,0.0000,8
58.0000,0.0267,0.0000,8
59.0000,0.0257,0.0000,8
60.0000,0.0247,0.0000,8
61.0000,0.0238,0.0000,8
62.0000,0.0229,0.0000,8
63.0000,0.0221,0.0000,8
64.0000,0.0213,0.0000,8
65.0000,0.0206,0.0000,8
66.0000,0.0199,0.0000,8
67.0000,0.0193,0.0000,8
68.0000,0.0187,0.0000,8
69.0000,0.0181,0.0000,8
70.0000,0.0176,0.0000,8
71.0000,0.0171,0.0000,8
72.0000,0.0166,0.0000,8
73.0000,0.0161,0.0000,8
74.0000,0.0157,0.0000,8
75.0000,0.0153,0.0000,8
76.0000,0.0149,0.0000,8
77.0000,0.0145,0.0000,8
78.0000,0.0142,0.0000,8
79.0000,0.0138,0.0000,8
80.0000,0.0135,0.0000,8
81.0000,0.0132,0.0000,8
82.0000,0.0129,0.0000,8
83.0000,0.0126,0.0000,8
84.0000,0.0123,0.0000,8
85.0000,0.0121,0.0000,8
86.0000,0.0118,0.0000,8
87.0000,0.0116,0.0000,8
88.0000,0.0113,0.0000,8
89.0000,0.0111,0.0000,8
90.0000,0.0109,0.0000,8
91.0000,0.0107,0.0000,8
92.0000,0.0105,0.0000,8
93.0000,0.0103,0.0000,8
94.0000,0.0101,0.0000,8
95.0000,0.0099,0.0000,8
96.0000,0.0098,0.0000,8
97.0000,0.0096,0.0000,8
98.0000,0.0094,0.0000,8
99.0000,0.0093,0.0000,8
100.0000,0.0091,0.0000,8
101.0000,0.0090,0.0000,8
102.0000,0.0088,0.0000,8
103.0000,0.0087,0.0000,8
104.0000,0.0086,0.0000,8
105.0000,0.0084,0.0000,8
106.0000,0.0083,0.0000,8
107.0000,0.0082,0.0000,8
108.0000,0.0081,0.0000,8
109.0000,0.0079,0.0000,8
110.0000,0.0078,0.0000,8
111.0000,0.0077,0.0000,8
112.0000,0.0076,0.0000,8
113.0000,0.0075,0.0000,8
114.0000,0.0074,0.0000,8
115.0000,0.0073,0.0000,8
116.0000,0.0072,0.0000,8
117.0000,0.0071,0.0000,8
118.0000,0.0070,0.0000,8
119.0000,0.0069,0.0000,8
120.0000,0.0068,0.0000,8
121.0000,0.0067,0.0000,8
122.0000,0.0066,0.0000,8
123.0000,0.0066,0.0000,8
124.0000,0.0065,0.0000,8
125.0000,0.0064,0.0000,8
126.0000,0.0063,0.0000,8
127.0000,0.0062,0.0000,8
128.0000,0.0062,0.0000,8
129.0000,0.0061,0.0000,8
130.0000,0.0060,0.0000,8
131.0000,0.0059,0.0000,8
132.0000,0.0059,0.0000,8
133.0000,0.0058,0.0000,8
134.0000,0.0057,0.0000,8
135.0000,0.0057,0.0000,8
136.0000,0.0056,0.0000,8
137.0000,0.0055,0.0000,8
138.0000,0.0055,0.0000,8
139.0000,0.0054,0.0000,8
140.0000,0.0053,0.0000,8
141.0000,0.0053,0.0000,8
142.0000,0.0052,0.0000,8
143.0000,0.0052,0.0000,8
144.0000,0.0051,0.0000,8
145.0000,0.0050,0.0000,8
146.0000,0.0050,0.0000,8
147.0000,0.0049,0.0000,8
148.0000,0.0049,0.0000,8
149.0000,0.0048,0.0000,8
150.0000,0.0048,0.0000,8
151.0000,0.0047,0.0000,8
152.0000,0.0047,0.0000,8
153.0000,0.0046,0.0000,8
154.0000,0.0046,0.0000,8
155.0000,0.0045,0.0000,8
156.0000,0.0045,0.0000,8
157.0000,0.0044,0.0000,8
158.0000,0.0044,0.0000,8
159.0000,0.0043,0.0000,8
160.0000,0.0043,0.0000,8
161.0000,0.0043,0.0000,8
162.0000,0.0042,0.0000,8
163.0000,0.0042,0.0000,8
164.0000,0.0041,0.0000,8
165.0000,0.0041,0.0000,8
166.0000,0.0040,0.0000,8
167.0000,0.0040,0.0000,8
168.0000,0.0040,0.0000,8
169.0000,0.0039,0.0000,8
170.0000,0.0039,0.0000,8
171.0000,0.0038,0.0000,8
172.0000,0.0038,0.0000,8
173.0000,0.0038,0.0000,8
174.0000,0.0037,0.0000,8
175.0000,0.0037,0.0000,8
176.0000,0.0037,0.0000,8
177.0000,0.0036,0.0000,8
178.0000,0.0036,0.0000,8
179.0000,0.0035,0.0000,8
180.0000,0.0035,0.0000,8
181.0000,0.0035,0.0000,8
182.0000,0.0034,0.0000,8
183.0000,0.0034,0.0000,8
184.0000,0.0034,0.0000,8
185.0000,0.0034,0.0000,8
186.0000,0.0033,0.0000,8
187.0000,0.0033,0.0000,8
188.0000,0.0033,0.0000,8
189.0000,0.0032,0.0000,8
190.0000,0.0032,0.0000,8
191.0000,0.0032,0.0000,8
192.0000,0.0031,0.0000,8
