time,width,height,area,density
0.0000,12.4895,12.4174,155.0871,0.2285
1.0000,12.4895,12.4174,155.0871,0.2285
2.0000,12.4895,12.4174,155.0871,0.2285
3.0000,12.4895,12.4174,155.0871,0.2285
4.0000,12.4895,12.4174,155.0871,0.2285
5.0000,12.4895,12.4174,155.0871,0.2285
6.0000,12.4895,12.4174,155.0871,0.2285
7.0000,12.4895,12.4174,155.0871,0.2285
8.0000,12.4895,12.4174,155.0871,0.2285
9.0000,12.4895,12.4174,155.0871,0.2285
10.0000,12.4895,12.4174,155.0871,0.2285
11.0000,12.4895,12.4174,155.0871,0.2285
12.0000,12.4895,12.4174,155.0871,0.2285
13.0000,12.4895,12.4174,155.0871,0.2285
14.0000,12.4895,12.4174,155.0871,0.2285
15.0000,12.4895,12.4174,155.0871,0.2285
16.0000,12.4895,12.4174,155.0871,0.2285
17.0000,12.4895,12.4174,155.0871,0.2285
18.0000,12.4895,12.4174,155.0871,0.2285
19.0000,12.4895,12.4174,155.0871,0.2285
20.0000,12.4895,12.4174,155.0871,0.2285
21.0000,12.4895,12.4174,155.0871,0.2285
22.0000,12.4895,12.4174,155.0871,0.2285
23.0000,12.4895,12.4174,155.0871,0.2285
24.0000,12.4895,12.4174,155.0871,0.2285
25.0000,12.4895,12.4174,155.0871,0.2285
26.0000,12.4895,12.4174,155.0871,0.2285
27.0000,12.4895,12.4174,155.0871,0.2285
28.0000,12.4895,12.4174,155.0871,0.2285
29.0000,12.4895,12.4174,155.0871,0.2285
30.0000,12.4895,12.4174,155.0871,0.2285
31.0000,12.4895,12.4174,155.0871,0.2285
32.0000,12.4895,12.4174,155.0871,0.2285
33.0000,12.4895,12.4174,155.0871,0.2285
34.0000,12.4895,12.4174,155.0871,0.2285
35.0000,12.4895,12.4174,155.0871,0.2285
36.0000,12.4895,12.4174,155.0871,0.2285
37.0000,12.4895,12.4174,155.0871,0.2285
38.0000,12.4895,12.4174,155.0871,0.2285
39.0000,12.4895,12.4174,155.0871,0.2285
40.0000,12.4895,12.4174,155.0871,0.2285
41.0000,12.4895,12.4174,155.0871,0.2285
42.0000,12.4895,12.4174,155.0871,0.2285
43.0000,12.4895,12.4174,155.0871,0.2285
44.0000,12.4895,12.4174,155.0871,0.2285
45.0000,12.4895,12.4174,155.0871,0.2285
46.0000,12.4895,12.4174,155.0871,0.2285
47.0000,12.4895,12.4174,155.0871,0.2285
48.0000,12.4895,12.4174,155.0871,0.2285
49.0000,12.4895,12.4174,155.0871,0.2285
50.0000,12.4895,12.4174,155.0871,0.2285
51.0000,12.4895,12.4174,155.0871,0.2285
52.0000,12.4895,12.4174,155.0871,0.2285
53.0000,12.4895,12.4174,155.0871,0.2285
54.0000,12.4895,12.4174,155.0871,0.2285
55.0000,12.4895,12.4174,155.0871,0.2285
56.0000,12.4895,12.4174,155.0871,0.2285
57.0000,12.4895,12.4174,155.0871,0.2285
58.0000,12.4895,12.4174,155.0871,0.2285
59.0000,12.4895,12.4174,155.0871,0.2285
60.0000,12.4895,12.4174,155.0871,0.2285
61.0000,12.4895,12.4174,155.0871,0.2285
62.0000,12.4895,12.4174,155.0871,0.2285
63.0000,12.4895,12.4174,155.0871,0.2285
64.0000,12.4895,12.4174,155.0871,0.2285
65.0000,12.4895,12.4174,155.0871,0.2285
66.0000,12.4895,12.4174,155.0871,0.2285
67.0000,12.4895,12.4174,155.0871,0.2285
68.0000,12.4895,12.4174,155.0871,0.2285
69.0000,12.4895,12.4174,155.0871,0.2285
70.0000,12.4895,12.4174,155.0871,0.2285
71.0000,12.4895,12.4174,155.0871,0.2285
72.0000,12.4895,12.4174,155.0871,0.2285
73.0000,12.4895,12.4174,155.0871,0.2285
74.0000,12.4895,12.4174,155.0871,0.2285
75.0000,12.4895,12.4174,155.0871,0.2285
76.0000,12.4895,12.4174,155.0871,0.2285
77.0000,12.4895,12.4174,155.0871,0.2285
78.0000,12.4895,12.4174,155.0871,0.2285
79.0000,12.4895,12.4174,155.0871,0.2285
80.0000,12.4895,12.4174,155.0871,0.2285
81.0000,12.4895,12.4174,155.0871,0.2285
82.0000,12.4895,12.4174,155.0871,0.2285
83.0000,12.4895,12.4174,155.0871,0.2285
84.0000,12.4895,12.4174,155.0871,0.2285
85.0000,12.4895,12.4174,155.0871,0.2285
86.0000,12.4895,12.4174,155.0871,0.2285
87.0000,12.4895,12.4174,155.0871,0.2285
88.0000,12.4895,12.4174,155.0871,0.2285
89.0000,12.4895,12.4174,155.0871,0.2285
90.0000,12.4895,12.4174,155.0871,0.2285
91.0000,12.4895,12.4174,155.0871,0.2285
92.0000,12.4895,12.4174,155.0871,0.2285
93.0000,12.4895,12.4174,155.0871,0.2285
94.0000,12.4895,12.4174,155.0871,0.2285
95.0000,12.4895,12.4174,155.0871,0.2285
96.0000,12.4895,12.4174,155.0871,0.2285
97.0000,12.4895,12.4174,155.0871,0.2285
98.0000,12.4895,12.4174,155.0871,0.2285
99.0000,12.4895,12.4174,155.0871,0.2285
100.0000,12.4895,12.4174,155.0871,0.2285
101.0000,12.4895,12.4174,155.0871,0.2285
102.0000,12.4895,12.4174,155.0871,0.2285
103.0000,12.4895,12.4174,155.0871,0.2285
104.0000,12.4895,12.4174,155.0871,0.2285
105.0000,12.4895,12.4174,155.0871,0.2285
106.0000,12.4895,12.4174,155.0871,0.2285
107.0000,12.4895,12.4174,155.0871,0.2285
108.0000,12.4895,12.4174,155.0871,0.2285
109.0000,12.4895,12.4174,155.0871,0.2285
110.0000,12.4895,12.4174,155.0871,0.2285
111.0000,12.4895,12.4174,155.0871,0.2285
112.0000,12.4895,12.4174,155.0871,0.2285
113.0000,12.4895,12.4174,155.0871,0.2285
114.0000,12.4895,12.4174,155.0871,0.2285
115.0000,12.4895,12.4174,155.0871,0.2285
116.0000,12.4895,12.4174,155.0871,0.2285
117.0000,12.4895,12.4174,155.0871,0.2285
118.0000,12.4895,12.4174,155.0871,0.2285
119.0000,12.4895,12.4174,155.0871,0.2285
120.0000,12.4895,12.4174,155.0871,0.2285
121.0000,12.4895,12.4174,155.0871,0.2285
122.0000,12.4895,12.4174,155.0871,0.2285
123.0000,12.4895,12.4174,155.0871,0.2285
124.0000,12.4895,12.4174,155.0871,0.2285
125.0000,12.4895,12.4174,155.0871,0.2285
126.0000,12.4895,12.4174,155.0871,0.2285
127.0000,12.4895,12.4174,155.0871,0.2285
128.0000,12.4895,12.4174,155.0871,0.2285
129.0000,12.4895,12.4174,155.0871,0.2285
130.0000,12.4895,12.4174,155.0871,0.2285
131.0000,12.4895,12.4174,155.0871,0.2285
132.0000,12.4895,12.4174,155.0871,0.2285
133.0000,12.4895,12.4174,155.0871,0.2285
134.0000,12.4895,12.4174,155.0871,0.2285
135.0000,12.4895,12.4174,155.0871,0.2285
136.0000,12.4895,12.4174,155.0871,0.2285
137.0000,12.4895,12.4174,155.0871,0.2285
138.0000,12.4895,12.4174,155.0871,0.2285
139.0000,12.4895,12.4174,155.0871,0.2285
140.0000,12.4895,12.4174,155.0871,0.2285
141.0000,12.4895,12.4174,155.0871,0.2285
142.0000,12.4895,12.4174,155.0871,0.2285
143.0000,12.4895,12.4174,155.0871,0.2285
144.0000,12.4895,12.4174,155.0871,0.2285
145.0000,12.4895,12.4174,155.0871,0.2285
146.0000,12.4895,12.4174,155.0871,0.2285
147.0000,12.4895,12.4174,155.0871,0.2285
148.0000,12.4895,12.4174,155.0871,0.2285
149.0000,12.4895,12.4174,155.0871,0.2285
150.0000,12.4895,12.4174,155.0871,0.2285
151.0000,12.4895,12.4174,155.0871,0.2285
152.0000,12.4895,12.4174,155.0871,0.2285
153.0000,12.4895,12.4174,155.0871,0.2285
154.0000,12.4895,12.4174,155.0871,0.2285
155.0000,12.4895,12.4174,155.0871,0.2285
156.0000,12.4895,12.4174,155.0871,0.2285
157.0000,12.4895,12.4174,155.0871,0.2285
158.0000,12.4895,12.4174,155.0871,0.2285
159.0000,12.4895,12.4174,155.0871,0.2285
160.0000,12.4895,12.4174,155.0871,0.2285
