time,width,height,area,density
0.0000,12.2063,12.3594,150.8625,0.2054
2.0000,12.2063,12.3594,150.8625,0.2054
4.0000,12.2063,12.3594,150.8625,0.2054
6.0000,12.2063,12.3594,150.8625,0.2054
8.0000,12.2063,12.3594,150.8625,0.2054
10.0000,12.2063,12.3594,150.8625,0.2054
12.0000,12.2063,12.3594,150.8625,0.2054
14.0000,12.2063,12.3594,150.8625,0.2054
16.0000,12.2063,12.3594,150.8625,0.2054
18.0000,12.2063,12.3594,150.8625,0.2054
20.0000,12.2063,12.3594,150.8625,0.2054
22.0000,12.2063,12.3594,150.8625,0.2054
24.0000,12.2063,12.3594,150.8625,0.2054
26.0000,12.2063,12.3594,150.8625,0.2054
28.0000,12.2063,12.3594,150.8625,0.2054
30.0000,12.2063,12.3594,150.8625,0.2054
32.0000,12.2063,12.3594,150.8625,0.2054
34.0000,12.2063,12.3594,150.8625,0.2054
36.0000,12.2063,12.3594,150.8625,0.2054
38.0000,12.2063,12.3594,150.8625,0.2054
40.0000,12.2063,12.3594,150.8625,0.2054
42.0000,12.2063,12.3594,150.8625,0.2054
44.0000,12.2063,12.3594,150.8625,0.2054
46.0000,12.2063,12.3594,150.8625,0.2054
48.0000,12.2063,12.3594,150.8625,0.2054
50.0000,12.2063,12.3594,150.8625,0.2054
52.0000,12.2063,12.3594,150.8625,0.2054
54.0000,12.2063,12.3594,150.8625,0.2054
56.0000,12.2063,12.3594,150.8625,0.2054
58.0000,12.2063,12.3594,150.8625,0.2054
60.0000,12.2063,12.3594,150.8625,0.2054
62.0000,12.2063,12.3594,150.8625,0.2054
64.0000,12.2063,12.3594,150.8625,0.2054
66.0000,12.2063,12.3594,150.8625,0.2054
68.0000,12.2063,12.3594,150.8625,0.2054
70.0000,12.2063,12.3594,150.8625,0.2054
72.0000,12.2063,12.3594,150.8625,0.2054
74.0000,12.2063,12.3594,150.8625,0.2054
76.0000,12.2063,12.3594,150.8625,0.2054
78.0000,12.2063,12.3594,150.8625,0.2054
80.0000,12.2063,12.3594,150.8625,0.2054
82.0000,12.2063,12.3594,150.8625,0.2054
84.0000,12.2063,12.3594,150.8625,0.2054
86.0000,12.2063,12.3594,150.8625,0.2054
88.0000,12.2063,12.3594,150.8625,0.2054
90.0000,12.2063,12.3594,150.8625,0.2054
92.0000,12.2063,12.3594,150.8625,0.2054
94.0000,12.2063,12.3594,150.8625,0.2054
96.0000,12.2063,12.3594,150.8625,0.2054
98.0000,12.2063,12.3594,150.8625,0.2054
100.0000,12.2063,12.3594,150.8625,0.2054
102.0000,12.2063,12.3594,150.8625,0.2054
104.0000,12.2063,12.3594,150.8625,0.2054
106.0000,12.2063,12.3594,150.8625,0.2054
108.0000,12.2063,12.3594,150.8625,0.2054
110.0000,12.2063,12.3594,150.8625,0.2054
