time,width,height,area,density
0.0000,12.3256,12.3563,152.2988,0.2005
3.0000,12.3256,12.3563,152.2988,0.2005
6.0000,12.3256,12.3563,152.2988,0.2005
9.0000,12.3256,12.3563,152.2988,0.2005
12.0000,12.3256,12.3563,152.2988,0.2005
15.0000,12.3256,12.3563,152.2988,0.2005
18.0000,12.3256,12.3563,152.2988,0.2005
21.0000,12.3256,12.3563,152.2988,0.2005
24.0000,12.3256,12.3563,152.2988,0.2005
27.0000,12.3256,12.3563,152.2988,0.2005
30.0000,12.3256,12.3563,152.2988,0.2005
33.0000,12.3256,12.3563,152.2988,0.2005
36.0000,12.3256,12.3563,152.2988,0.2005
39.0000,12.3256,12.3563,152.2988,0.2005
42.0000,12.3256,12.3563,152.2988,0.2005
45.0000,12.3256,12.3563,152.2988,0.2005
48.0000,12.3256,12.3563,152.2988,0.2005
51.0000,12.3256,12.3563,152.2988,0.2005
54.0000,12.3256,12.3563,152.2988,0.2005
57.0000,12.3256,12.3563,152.2988,0.2005
60.0000,12.3256,12.3563,152.2988,0.2005
63.0000,12.3256,12.3563,152.2988,0.2005
66.0000,12.3256,12.3563,152.2988,0.2005
69.0000,12.3256,12.3563,152.2988,0.2005
72.0000,12.3256,12.3563,152.2988,0.2005
75.0000,12.3256,12.3563,152.2988,0.2005
78.0000,12.3256,12.3563,152.2988,0.2005
81.0000,12.3256,12.3563,152.2988,0.2005
84.0000,12.3256,12.3563,152.2988,0.2005
87.0000,12.3256,12.3563,152.2988,0.2005
90.0000,12.3256,12.3563,152.2988,0.2005
93.0000,12.3256,12.3563,152.2988,0.2005
96.0000,12.3256,12.3563,152.2988,0.2005
99.0000,12.3256,12.3563,152.2988,0.2005
102.0000,12.3256,12.3563,152.2988,0.2005
105.0000,12.3256,12.3563,152.2988,0.2005
108.0000,12.3256,12.3563,152.2988,0.2005
111.0000,12.3256,12.3563,152.2988,0.2005
114.0000,12.3256,12.3563,152.2988,0.2005
117.0000,12.3256,12.3563,152.2988,0.2005
120.0000,12.3256,12.3563,152.2988,0.2005
123.0000,12.3256,12.3563,152.2988,0.2005
126.0000,12.3256,12.3563,152.2988,0.2005
129.0000,12.3256,12.3563,152.2988,0.2005
132.0000,12.3256,12.3563,152.2988,0.2005
135.0000,12.3256,12.3563,152.2988,0.2005
138.0000,12.3256,12.3563,152.2988,0.2005
141.0000,12.3256,12.3563,152.2988,0.2005
144.0000,12.3256,12.3563,152.2988,0.2005
147.0000,12.3256,12.3563,152.2988,0.2005
150.0000,12.3256,12.3563,152.2988,0.2005
153.0000,12.3256,12.3563,152.2988,0.2005
156.0000,12.3256,12.3563,152.2988,0.2005
159.0000,12.3256,12.3563,152.2988,0.2005
162.0000,12.3256,12.3563,152.2988,0.2005
165.0000,12.3256,12.3563,152.2988,0.2005
168.0000,12.3256,12.3563,152.2988,0.2005
171.0000,12.3256,12.3563,152.2988,0.2005
174.0000,12.3256,12.3563,152.2988,0.2005
177.0000,12.3256,12.3563,152.2988,0.2005
180.0000,12.3256,12.3563,152.2988,0.2005
183.0000,12.3256,12.3563,152.2988,0.2005
186.0000,12.3256,12.3563,152.2988,0.2005
189.0000,12.3256,12.3563,152.2988,0.2005
192.0000,12.3256,12.3563,152.2988,0.2005
195.0000,12.3256,12.3563,152.2988,0.2005
198.0000,12.3256,12.3563,152.2988,0.2005
201.0000,12.3256,12.3563,152.2988,0.2005
204.0000,12.3256,12.3563,152.2988,0.2005
207.0000,12.3256,12.3563,152.2988,0.2005
210.0000,12.3256,12.3563,152.2988,0.2005
213.0000,12.3256,12.3563,152.2988,0.2005
216.0000,12.3256,12.3563,152.2988,0.2005
219.0000,12.3256,12.3563,152.2988,0.2005
222.0000,12.3256,12.3563,152.2988,0.2005
225.0000,12.3256,12.3563,152.2988,0.2005
228.0000,12.3256,12.3563,152.2988,0.2005
231.0000,12.3256,12.3563,152.2988,0.2005
234.0000,12.3256,12.3563,152.2988,0.2005
237.0000,12.3256,12.3563,152.2988,0.2005
240.0000,12.3256,12.3563,152.2988,0.2005
243.0000,12.3256,12.3563,152.2988,0.2005
246.0000,12.3256,12.3563,152.2988,0.2005
249.0000,12.3256,12.3563,152.2988,0.2005
252.0000,12.3256,12.3563,152.2988,0.2005
255.0000,12.3256,12.3563,152.2988,0.2005
258.0000,12.3256,12.3563,152.2988,0.2005
261.0000,12.3256,12.3563,152.2988,0.2005
264.0000,12.3256,12.3563,152.2988,0.2005
267.0000,12.3256,12.3563,152.2988,0.2005
270.0000,12.3256,12.3563,152.2988,0.2005
273.0000,12.3256,12.3563,152.2988,0.2005
276.0000,12.3256,12.3563,152.2988,0.2005
279.0000,12.3256,12.3563,152.2988,0.2005
282.0000,12.3256,12.3563,152.2988,0.2005
285.0000,12.3256,12.3563,152.2988,0.2005
288.0000,12.3256,12.3563,152.2988,0.2005
291.0000,12.3256,12.3563,152.2988,0.2005
294.0000,12.3256,12.3563,152.2988,0.2005
297.0000,12.3256,12.3563,152.2988,0.2005
300.0000,12.3256,12.3563,152.2988,0.2005
303.0000,12.3256,12.3563,152.2988,0.2005
306.0000,12.3256,12.3563,152.2988,0.2005
309.0000,12.3256,12.3563,152.2988,0.2005
312.0000,12.3256,12.3563,152.2988,0.2005
315.0000,12.3256,12.3563,152.2988,0.2005
318.0000,12.3256,12.3563,152.2988,0.2005
321.0000,12.3256,12.3563,152.2988,0.2005
324.0000,12.3256,12.3563,152.2988,0.2005
327.0000,12.3256,12.3563,152.2988,0.2005
330.0000,12.3256,12.3563,152.2988,0.2005
333.0000,12.3256,12.3563,152.2988,0.2005
336.0000,12.3256,12.3563,152.2988,0.2005
339.0000,12.3256,12.3563,152.2988,0.2005
342.0000,12.3256,12.3563,152.2988,0.2005
345.0000,12.3256,12.3563,152.2988,0.2005
348.0000,12.3256,12.3563,152.2988,0.2005
351.0000,12.3256,12.3563,152.2988,0.2005
354.0000,12.3256,12.3563,152.2988,0.2005
357.0000,12.3256,12.3563,152.2988,0.2005
359.9700,12.3256,12.3563,152.2988,0.2005
